Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
Nadam,25,1,16,1,41,24,0.009926306533862488,92
SGD,23,2,21,1,41,21,0.0006701834156443109,123
Nadam,20,2,30,1,51,20,0.004622173670393858,123
SGD,17,1,20,1,56,27,0.0008803542685639239,60
Adagrad,29,1,26,1,63,20,0.009533081975862723,47
AdamW,23,2,29,1,36,26,0.009383129085325733,123
Nadam,19,2,22,1,40,20,0.0075890294743881275,112
Adam,19,2,22,1,53,19,0.00683751897628033,64
Adadelta,26,2,23,1,53,24,0.0022367408587846576,75
RMSprop,21,1,22,1,34,27,0.007062824478749744,76
Adadelta,22,2,16,1,61,29,0.007571456976229785,99
Adadelta,25,2,21,2,58,24,0.0025245989775737046,103
Adagrad,28,1,24,2,50,20,0.006477455903275638,124
Adadelta,16,2,24,2,44,31,0.008890052145690568,45
AdamW,20,2,22,2,43,30,0.00789673624848462,70
Adamax,26,2,23,1,53,17,0.008754001331480703,38
RMSprop,25,1,22,2,50,22,0.0021711988248381614,65
Adam,25,2,24,2,61,19,0.0031696737279893806,69
Nadam,23,1,23,2,43,29,0.005377841092208585,66
Adadelta,21,2,26,1,57,31,0.0011769647182504337,37
SGD,29,1,18,2,63,29,0.0038152565420001695,66
Adamax,31,1,22,2,36,30,0.0019458070124910695,64
SGD,20,2,30,2,62,23,0.0077928370247401044,71
SGD,24,2,28,1,59,22,0.003102611588555366,76
RMSprop,21,2,29,2,46,26,0.00950568255858208,59
Adagrad,21,1,31,1,55,23,0.00673430140452515,78
RMSprop,28,1,19,2,44,31,0.0003410530237003669,43
RMSprop,30,1,28,2,39,19,0.005221208996291305,123
Adagrad,16,1,20,2,61,25,0.004096384799890885,127
SGD,30,2,16,2,37,28,0.009941389396075747,57
Adadelta,24,2,25,1,63,25,0.00861443923854612,82
Adadelta,19,2,24,2,36,21,0.009441761583436611,105
RMSprop,29,2,19,1,40,18,0.005558414980249601,123
RMSprop,31,2,26,1,35,18,0.005618549284978065,59
Nadam,24,1,27,1,57,31,0.0007488255720191422,55
RMSprop,20,2,17,1,55,25,0.0032594667418151,78
Adamax,30,1,31,2,60,27,0.0036705169054901616,60
RMSprop,19,1,30,1,49,27,0.008422957768302158,80
Adam,24,2,30,2,59,30,0.0015866118084731427,40
Adadelta,19,1,16,1,47,25,0.009036672232182894,87
Adadelta,28,1,23,1,34,19,0.006587041104157037,53
AdamW,25,1,31,1,52,28,0.007288693160107182,125
Adagrad,26,2,16,1,34,18,0.001230965869595587,67
Adagrad,28,2,23,1,58,31,0.0029005533183730867,46
Adamax,18,1,25,1,62,21,0.0008510171879823083,45
Adagrad,19,2,30,1,35,17,0.009619926995029919,99
Adagrad,22,2,28,1,44,29,0.009398223781649794,47
RMSprop,18,1,27,2,47,20,0.004406783196275705,98
AdamW,24,2,18,2,44,31,0.007566352463088313,62
Nadam,31,2,25,2,43,27,0.0028826264532615196,125
AdamW,29,1,23,2,38,28,0.008971298696762473,52
Adam,16,1,28,2,62,25,0.0011843717928145976,99
Adagrad,30,2,25,1,38,19,0.0042693725976563944,54
Adagrad,28,2,23,2,47,26,0.0038415308285823617,37
AdamW,19,2,24,2,53,21,0.0087121002719713,83
AdamW,17,1,26,2,61,30,0.0038931214023034347,85
RMSprop,21,2,24,2,48,28,0.009095967464346037,33
RMSprop,20,1,23,2,42,29,0.0003449735195611363,121
SGD,21,2,23,1,42,29,0.007419283040381801,75
AdamW,26,2,21,2,42,16,0.005562809125717358,106
Adamax,22,1,18,1,56,19,0.0068684038099440965,97
