Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
SGD,16,2,22,1,33,29,0.008505495475612447,47
Adam,26,2,25,1,52,25,0.001958993599646877,74
Adadelta,30,2,20,1,37,17,0.001142617523725447,102
Nadam,29,2,17,2,56,29,0.002054932685941293,55
RMSprop,30,2,28,2,52,26,0.007486117854778195,98
AdamW,17,2,25,2,40,19,0.0044450673140587075,117
Adadelta,23,1,30,1,49,31,0.0012250496579121607,108
AdamW,18,1,19,2,57,31,0.006467137497241228,71
AdamW,21,2,21,1,49,18,0.008550187596557051,103
SGD,29,1,28,1,44,24,0.0011183844625910397,49
Adadelta,29,2,21,2,44,16,0.004640322224674465,79
Adadelta,21,1,16,1,63,24,0.00549543147208122,105
RMSprop,22,2,21,2,34,26,0.009141712646214963,62
Adamax,22,2,30,2,62,28,0.00467548002648422,64
RMSprop,22,1,30,2,36,20,0.008482851467667182,34
AdamW,24,1,30,1,44,18,0.0029196202531645574,113
SGD,16,1,22,2,33,31,0.001488832487309645,107
Adagrad,30,1,22,2,57,24,0.0047642683734275,44
Nadam,31,1,31,2,45,17,0.009222952990509821,113
Adam,23,1,17,2,34,28,0.0023624144780401675,121
Adadelta,21,1,26,2,36,23,0.006124299271683956,120
RMSprop,21,1,17,2,52,25,0.006773030236150961,101
Nadam,30,1,30,2,54,26,0.0027241227102184945,125
AdamW,26,2,17,2,46,25,0.00200805561686162,122
Adagrad,17,1,20,2,57,17,0.0017359302582211434,74
Adamax,30,1,24,1,32,30,0.0022563451776649746,34
SGD,21,2,22,2,55,23,0.006853277422202605,118
Adamax,30,1,27,1,58,24,0.003799315824321342,67
AdamW,30,2,26,2,60,22,0.0047942617523725455,93
AdamW,31,2,26,1,56,31,0.008044868682410064,121
Adam,20,2,30,2,56,30,0.0011942617523725448,72
Adagrad,27,1,30,1,58,25,0.004737055837563453,85
SGD,22,2,26,1,44,22,0.006948620613551094,89
Adamax,22,2,25,2,43,22,0.00014687706907967336,118
Adadelta,20,2,27,1,34,17,0.005055661001986318,68
AdamW,28,2,26,2,51,18,0.006979011255793424,38
Nadam,25,2,26,1,62,29,0.005797947472964026,71
Nadam,29,1,30,1,42,26,0.0011177885676451115,92
Adamax,19,1,28,1,63,22,0.005922688148311631,124
AdamW,21,1,25,2,61,29,0.002233303906422423,100
AdamW,31,2,31,1,60,22,0.004806775546237035,83
Nadam,30,2,21,1,51,23,0.00031015228426395944,88
Adam,18,1,26,1,37,29,0.002377113220039726,100
AdamW,26,2,29,1,46,21,0.0041322224674464805,114
Nadam,25,2,20,1,60,30,0.0024380931361730304,46
Adagrad,23,2,21,2,44,27,0.00562950783491503,48
SGD,19,2,22,1,49,26,0.007802935334363276,40
Adadelta,16,2,22,2,51,19,0.0013412491723681307,43
AdamW,20,2,28,2,43,25,0.0094950783491503,88
Adadelta,17,1,26,2,49,27,0.003086228205694107,107
Nadam,17,1,27,1,46,26,0.007185985433679101,114
Adadelta,22,1,21,1,43,18,0.0027843080997572277,83
SGD,24,2,23,2,57,21,0.001947274332376959,55
Adam,30,1,28,1,55,23,0.0036994041050540717,106
SGD,22,2,24,2,51,18,0.008430015449128228,94
Adamax,26,1,23,1,54,20,0.002602162877951887,41
SGD,30,1,23,2,53,25,0.005818207901125581,75
RMSprop,29,2,17,2,36,17,0.008861443389980137,45
Adamax,28,2,21,2,59,25,0.004987530346501876,59
SGD,28,2,16,1,38,31,0.005573295078349151,64
AdamW,16,1,18,1,60,30,0.00938801589053189,119
Adamax,18,1,28,1,46,30,0.00346164202162878,42
Adagrad,21,2,19,2,59,29,0.002819863164864268,52
AdamW,23,2,28,2,48,22,0.001371242551313176,69
SGD,30,1,16,2,39,21,0.004148112999337895,34
Adam,31,1,25,1,61,20,0.0015927168395497683,32
Adamax,30,2,25,1,56,28,0.008280445817700287,127
AdamW,22,2,27,1,63,17,0.005869653498124036,58
Nadam,21,2,24,1,47,16,0.00046230412712425516,62
Adadelta,16,1,31,2,60,29,0.0002932685941293313,118
Nadam,25,2,19,1,36,27,0.005364334583977048,119
AdamW,18,2,23,1,34,25,0.005914544250717281,43
Adadelta,26,1,17,1,32,24,0.0007525049657912162,62
SGD,29,1,25,1,45,29,0.005507746634297065,86
SGD,31,1,19,2,47,26,0.009380070624586184,68
Adamax,23,2,16,2,48,29,0.007115272566762305,61
SGD,21,1,31,1,38,16,0.004343367909953653,119
AdamW,20,1,31,1,51,29,0.008030368572059148,104
AdamW,27,1,16,2,63,24,0.0008458618406532775,126
RMSprop,30,1,17,2,38,28,0.00742056941072611,65
SGD,31,2,21,2,39,25,0.00532897815051865,99
RMSprop,24,2,17,1,61,20,0.006138998013683514,68
