Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
SGD,16,1,16,1,32,16,0.0001,32
Adadelta,24,2,24,2,48,24,0.005050000000000001,80
Adam,20,1,20,1,40,20,0.002575,56
Adamax,28,2,28,2,56,28,0.007525000000000001,104
RMSprop,18,1,18,1,36,18,0.0013375000000000001,44
Adagrad,26,2,26,2,52,26,0.0062875000000000006,92
AdamW,22,1,22,1,44,22,0.0038125000000000004,68
Nadam,30,2,30,2,60,30,0.0087625,116
SGD,17,1,17,1,34,17,0.0007187500000000001,38
Adadelta,25,2,25,2,50,25,0.005668750000000001,86
Adam,21,1,21,1,42,21,0.00319375,62
Adamax,29,2,29,2,58,29,0.00814375,110
RMSprop,19,1,19,1,38,19,0.00195625,50
Adagrad,27,2,27,2,54,27,0.006906250000000001,98
AdamW,23,1,23,1,46,23,0.00443125,74
Nadam,31,2,31,2,62,31,0.00938125,122
SGD,16,1,16,1,33,16,0.000409375,35
Adadelta,24,2,24,2,49,24,0.005359375,83
Adam,20,1,20,1,41,20,0.0028843750000000002,59
Adamax,28,2,28,2,57,28,0.007834375000000001,107
RMSprop,18,1,18,1,37,18,0.0016468750000000001,47
Adagrad,26,2,26,2,53,26,0.006596875000000001,95
AdamW,22,1,22,1,45,22,0.0041218750000000005,71
Nadam,30,2,30,2,61,30,0.009071875,119
SGD,17,1,17,1,35,17,0.0010281250000000002,41
Adadelta,25,2,25,2,51,25,0.005978125000000001,89
Adam,21,1,21,1,43,21,0.003503125,65
Adamax,29,2,29,2,59,29,0.008453125,113
RMSprop,19,1,19,1,39,19,0.002265625,53
Adagrad,27,2,27,2,55,27,0.007215625000000001,101
AdamW,23,1,23,1,47,23,0.004740625000000001,77
Nadam,31,2,31,2,63,31,0.009690625,125
SGD,16,1,16,1,32,16,0.00025468750000000003,33
Adadelta,24,2,24,2,48,24,0.005204687500000001,81
Adam,20,1,20,1,40,20,0.0027296875,57
Adamax,28,2,28,2,56,28,0.007679687500000001,105
RMSprop,18,1,18,1,36,18,0.0014921875000000002,45
Adagrad,26,2,26,2,52,26,0.006442187500000001,93
AdamW,22,1,22,1,44,22,0.0039671875,69
Nadam,30,2,30,2,60,30,0.0089171875,117
SGD,17,1,17,1,34,17,0.0008734375000000001,39
Adadelta,25,2,25,2,50,25,0.0058234375000000005,87
Adam,21,1,21,1,42,21,0.0033484375000000003,63
Adamax,29,2,29,2,58,29,0.0082984375,111
RMSprop,19,1,19,1,38,19,0.0021109375,51
Adagrad,27,2,27,2,54,27,0.007060937500000001,99
AdamW,23,1,23,1,46,23,0.004585937500000001,75
Nadam,31,2,31,2,62,31,0.009535937500000001,123
SGD,16,1,16,1,33,16,0.0005640625000000001,36
Adadelta,24,2,24,2,49,24,0.005514062500000001,84
Adam,20,1,20,1,41,20,0.0030390625,60
Adamax,28,2,28,2,57,28,0.0079890625,108
RMSprop,18,1,18,1,37,18,0.0018015625000000002,48
Adagrad,26,2,26,2,53,26,0.006751562500000001,96
AdamW,22,1,22,1,45,22,0.004276562500000001,72
Nadam,30,2,30,2,61,30,0.0092265625,120
SGD,17,1,17,1,35,17,0.0011828125,42
Adadelta,25,2,25,2,51,25,0.006132812500000001,90
Adam,21,1,21,1,43,21,0.0036578125,66
Adamax,29,2,29,2,59,29,0.008607812500000001,114
RMSprop,19,1,19,1,39,19,0.0024203125,54
Adagrad,27,2,27,2,55,27,0.007370312500000001,102
AdamW,23,1,23,1,47,23,0.0048953125,78
Nadam,31,2,31,2,63,31,0.0098453125,126
SGD,16,1,16,1,32,16,0.00017734375,32
Adadelta,24,2,24,2,48,24,0.005127343750000001,80
Adam,20,1,20,1,40,20,0.00265234375,56
Adamax,28,2,28,2,56,28,0.007602343750000001,104
RMSprop,18,1,18,1,36,18,0.00141484375,44
Adagrad,26,2,26,2,52,26,0.006364843750000001,92
AdamW,22,1,22,1,44,22,0.00388984375,68
Nadam,30,2,30,2,60,30,0.00883984375,116
SGD,17,1,17,1,34,17,0.0007960937500000001,38
Adadelta,25,2,25,2,50,25,0.00574609375,86
Adam,21,1,21,1,42,21,0.00327109375,62
Adamax,29,2,29,2,58,29,0.00822109375,110
RMSprop,19,1,19,1,38,19,0.0020335937500000002,50
Adagrad,27,2,27,2,54,27,0.006983593750000001,98
AdamW,23,1,23,1,46,23,0.0045085937500000004,74
Nadam,31,2,31,2,62,31,0.00945859375,122
SGD,16,1,16,1,33,16,0.00048671875,35
Adadelta,24,2,24,2,49,24,0.005436718750000001,83
Adam,20,1,20,1,41,20,0.00296171875,59
Adamax,28,2,28,2,57,28,0.007911718750000001,107
RMSprop,18,1,18,1,37,18,0.0017242187500000003,47
Adagrad,26,2,26,2,53,26,0.0066742187500000005,95
AdamW,22,1,22,1,45,22,0.004199218750000001,71
Nadam,30,2,30,2,61,30,0.00914921875,119
SGD,17,1,17,1,35,17,0.0011054687500000001,41
Adadelta,25,2,25,2,51,25,0.006055468750000001,89
Adam,21,1,21,1,43,21,0.0035804687500000003,65
Adamax,29,2,29,2,59,29,0.00853046875,113
RMSprop,19,1,19,1,39,19,0.00234296875,53
Adagrad,27,2,27,2,55,27,0.007292968750000001,101
AdamW,23,1,23,1,47,23,0.004817968750000001,77
Nadam,31,2,31,2,63,31,0.00976796875,125
SGD,16,1,16,1,32,16,0.00033203125,34
Adadelta,24,2,24,2,48,24,0.00528203125,82
Adam,20,1,20,1,40,20,0.00280703125,58
Adamax,28,2,28,2,56,28,0.007757031250000001,106
RMSprop,18,1,18,1,36,18,0.0015695312500000002,46
Adagrad,26,2,26,2,52,26,0.006519531250000001,94
AdamW,22,1,22,1,44,22,0.00404453125,70
Nadam,30,2,30,2,60,30,0.00899453125,118
SGD,17,1,17,1,34,17,0.0009507812500000001,40
Adadelta,25,2,25,2,50,25,0.005900781250000001,88
Adam,21,1,21,1,42,21,0.00342578125,64
