Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
RMSprop,26,2,22,1,45,20,0.0037890760849283852,51
SGD,30,2,17,1,55,28,0.004502495890899536,97
SGD,22,2,23,2,51,27,0.004286090583250289,57
RMSprop,18,2,22,2,42,19,0.00504359100308936,108
Adagrad,21,1,30,2,37,21,0.0001781202602454667,122
AdamW,26,2,29,1,50,28,0.009614349550780056,66
Adamax,25,1,17,1,63,23,0.004727971408345423,56
Adam,20,2,22,1,39,17,0.006573016054877878,118
Adadelta,19,1,31,1,37,19,0.00996173438855692,49
AdamW,29,1,25,1,43,24,0.0017771217129620028,86
SGD,31,2,22,2,33,28,0.002577728105754671,96
RMSprop,19,1,29,1,45,18,0.004948161021354417,70
Adamax,22,1,21,1,52,24,0.006347858369382474,114
Adam,17,2,24,1,48,25,0.006375860202270813,81
Adadelta,26,1,23,1,53,19,0.0055400858999045495,93
Adagrad,25,1,17,2,41,28,0.00013190672960704247,116
Adadelta,20,2,20,2,41,16,0.007361426824570469,83
Adam,28,1,16,1,55,17,0.006201552356566897,51
Adam,18,1,21,1,55,19,0.009122330959065773,67
SGD,30,1,18,2,62,26,0.006270330538645723,57
SGD,22,1,18,1,43,22,0.001479427350949964,46
Adadelta,28,2,30,1,48,24,0.0013867041110922,36
RMSprop,30,2,16,1,54,29,0.009561699749545564,79
RMSprop,31,2,23,1,32,26,0.008421819105115434,32
Adamax,19,2,26,1,45,31,0.004496491202807337,97
Adam,23,2,22,2,45,17,0.0015208407097208308,56
Adam,21,2,28,1,56,22,0.001326684423902272,39
RMSprop,19,1,27,2,60,27,0.0020230345591439334,78
SGD,19,2,18,2,53,16,0.007929630559044526,113
AdamW,25,2,31,2,53,26,0.004352191048365549,126
RMSprop,24,1,17,1,63,26,0.00916599625740092,54
SGD,16,2,23,1,55,25,0.0007885071692839223,107
Adagrad,21,1,30,1,53,18,0.005965195398686813,36
RMSprop,29,2,26,1,41,17,0.009095633825343718,82
Adam,25,1,18,2,48,26,0.0016411208404077558,115
Nadam,25,2,26,2,46,28,0.009503744756213371,126
Adadelta,24,2,26,2,32,31,0.008169840542661077,79
SGD,30,1,20,1,54,28,0.005626004002934595,107
Adagrad,21,1,22,1,46,29,0.00840304040978664,118
Adamax,31,1,27,1,46,24,0.007671220226185288,72
Adadelta,21,1,31,1,43,24,0.0017411076063906597,106
Nadam,25,2,19,2,41,16,0.008169540231942699,65
Adadelta,28,1,25,2,62,25,0.006353168342559301,66
AdamW,29,1,30,1,36,16,0.008363823507409017,65
RMSprop,18,2,27,2,44,30,0.007462751061707847,73
RMSprop,20,2,29,1,63,26,0.002128997663593537,35
Nadam,26,2,30,2,33,27,0.0006267235191254128,108
Adam,27,1,21,1,49,18,0.009709414514659963,106
RMSprop,24,1,25,2,38,18,0.0029656928277913917,113
RMSprop,31,1,27,2,49,16,0.003827665986268409,121
SGD,30,1,30,1,45,28,0.006869721303567512,55
Adadelta,21,2,16,1,41,28,0.0002273441048607925,78
SGD,30,2,19,2,46,22,0.0026092167866918034,125
Adagrad,19,1,20,1,56,18,0.0017973022939888359,41
RMSprop,16,2,25,2,63,24,0.0020628527651856696,119
Adam,22,2,28,1,55,31,0.0057117636052247504,117
Adamax,25,1,28,1,37,20,0.0007756321466291973,53
Adam,25,1,29,1,44,28,0.009003493090038676,69
SGD,26,1,22,2,61,25,0.004220410908936102,124
Adagrad,30,2,25,1,60,23,0.0068384163384381125,92
Adam,27,1,23,1,44,17,0.004455071937381113,67
Nadam,26,1,22,2,49,30,0.009799238164664362,106
AdamW,24,2,31,1,60,24,0.008212898357795647,105
Adam,22,1,27,2,52,21,0.0032006191097635845,103
AdamW,21,2,21,2,51,23,0.0026264951961520646,66
Nadam,21,1,24,1,57,28,0.002591848817326164,87
Adamax,18,2,17,2,56,21,0.00206187777012072,37
SGD,28,2,30,1,45,20,0.003010922880350355,79
Adadelta,27,1,21,1,50,31,0.00833211076211942,54
Adadelta,27,1,19,1,62,26,0.009101318768986656,65
Adam,31,1,24,1,59,20,0.003658902795438776,35
AdamW,25,1,19,1,49,22,0.003583940493330907,35
SGD,28,1,24,1,55,21,0.004062850408362375,78
SGD,26,2,16,1,60,24,0.007706254786941905,70
RMSprop,30,2,19,1,40,31,0.006302499436086597,106
RMSprop,22,1,31,2,48,17,0.004256696989908244,82
SGD,21,2,22,1,48,17,0.009209275168392527,107
Adamax,19,1,24,2,37,26,0.008819473343490522,109
Adam,17,1,30,2,51,31,0.006562981742745848,120
RMSprop,29,1,30,1,57,22,0.0035001748321433494,99
Adadelta,22,1,20,1,49,28,0.004093657465123074,67
Adam,30,1,25,1,59,25,0.007093699162388605,43
AdamW,25,2,30,2,45,21,0.0022815357584238553,104
Adamax,28,2,31,1,50,22,0.009184682643655238,33
SGD,31,1,16,2,56,24,0.0002448168482159578,117
Adagrad,30,2,24,1,62,25,0.00786793193301187,109
SGD,20,1,23,2,39,19,0.0014228825639228473,100
Adagrad,29,2,29,2,51,30,0.008454107311244477,46
Adam,17,1,22,1,39,25,0.0001467630057103762,95
Nadam,17,1,28,1,60,28,0.001742863313175867,71
Adadelta,30,1,31,2,47,30,0.006451725147380823,104
Adagrad,21,2,22,2,44,26,0.006933187257965245,112
Adadelta,20,2,27,1,63,20,0.002367960708149685,38
Adamax,26,2,28,1,59,20,0.003545400682096384,111
Adamax,27,2,20,2,62,28,0.004108447349761671,36
Adadelta,18,2,28,2,35,26,0.007839346552625474,96
RMSprop,22,2,19,2,60,17,0.003845520324065023,121
RMSprop,24,1,20,1,45,19,0.007220489167443567,63
Nadam,16,2,30,1,38,24,0.008204949237327733,66
