Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size
Nadam,22,2,29,1,43,21,0.0023347134495022067,93
AdamW,30,1,21,2,59,29,0.007284713449502207,45
Adagrad,18,2,25,1,35,17,0.009759713449502206,69
RMSprop,26,1,17,2,51,25,0.004809713449502207,117
Adam,28,1,19,2,55,27,0.006047213449502207,33
Adamax,20,2,27,1,39,19,0.0010972134495022077,81
Adadelta,16,2,23,2,63,31,0.008522213449502207,57
SGD,24,1,31,1,47,23,0.0035722134495022066,105
SGD,25,1,16,1,49,24,0.004190963449502207,111
Adadelta,17,2,24,2,33,16,0.009140963449502207,63
Adamax,21,2,28,1,41,20,0.0017159634495022078,87
Adam,29,1,20,2,57,28,0.006665963449502208,39
RMSprop,27,1,18,2,53,26,0.005428463449502207,123
Adagrad,19,2,26,1,37,18,0.00047846344950220763,75
AdamW,31,1,22,2,61,30,0.007903463449502207,51
Nadam,23,2,30,1,45,22,0.0029534634495022066,99
SGD,24,2,31,1,46,22,0.0032628384495022064,102
Adadelta,16,1,23,2,62,30,0.008212838449502206,54
Adamax,20,2,27,1,38,18,0.0007878384495022077,78
Adam,28,1,19,2,54,26,0.0057378384495022075,126
AdamW,30,1,21,2,58,28,0.006975338449502207,42
Nadam,22,2,29,1,42,20,0.002025338449502208,90
Adagrad,18,2,25,2,34,16,0.009450338449502207,66
RMSprop,26,1,17,1,50,24,0.004500338449502207,114
SGD,25,1,16,1,48,23,0.0038815884495022068,108
Adadelta,17,2,24,2,32,31,0.008831588449502206,60
Adamax,21,2,28,1,40,19,0.0014065884495022079,84
Adam,29,1,20,2,56,27,0.006356588449502207,36
RMSprop,27,1,18,2,52,25,0.005119088449502207,120
Adagrad,19,2,26,1,36,17,0.00016908844950220764,72
AdamW,31,1,22,2,60,29,0.007594088449502208,48
Nadam,23,2,30,1,44,21,0.0026440884495022065,96
Nadam,23,2,30,1,44,22,0.0027987759495022068,98
AdamW,31,1,22,2,60,30,0.007748775949502207,50
Adagrad,19,2,26,1,36,18,0.00032377594950220765,74
RMSprop,27,1,18,2,52,26,0.005273775949502207,122
Adam,29,1,20,2,56,28,0.006511275949502207,38
Adamax,21,2,28,1,40,20,0.0015612759495022078,86
Adadelta,17,2,24,2,32,16,0.008986275949502206,62
SGD,25,1,16,1,48,24,0.0040362759495022075,110
RMSprop,26,1,17,1,50,25,0.004655025949502207,116
Adagrad,18,2,25,2,34,17,0.009605025949502207,68
Nadam,22,2,29,1,42,21,0.0021800259495022077,92
AdamW,30,1,21,2,58,29,0.007130025949502208,44
Adam,28,1,19,2,54,27,0.005892525949502207,32
Adamax,20,2,27,1,38,19,0.0009425259495022077,80
Adadelta,16,2,23,2,62,31,0.008367525949502207,56
SGD,24,1,31,1,46,23,0.0034175259495022067,104
Nadam,23,2,31,1,45,22,0.0031081509495022065,101
AdamW,31,1,23,2,61,30,0.008058150949502206,53
Adagrad,19,2,27,1,37,18,0.0006331509495022077,77
RMSprop,27,1,19,2,53,26,0.005583150949502207,125
Adam,29,1,21,2,57,28,0.006820650949502207,41
Adamax,21,2,29,1,41,20,0.0018706509495022077,89
Adadelta,17,2,25,2,33,16,0.009295650949502207,65
SGD,25,1,17,1,49,24,0.004345650949502207,113
SGD,24,1,16,1,47,23,0.0037269009495022065,107
Adadelta,16,2,24,2,63,31,0.008676900949502207,59
Adamax,20,2,28,1,39,19,0.0012519009495022078,83
Adam,28,1,20,2,55,27,0.0062019009495022075,35
RMSprop,26,1,18,2,51,25,0.004964400949502207,119
Adagrad,18,2,26,1,35,17,0.009914400949502206,71
AdamW,30,1,22,2,59,29,0.007439400949502207,47
Nadam,22,2,30,1,43,21,0.0024894009495022066,95
Nadam,22,2,30,1,43,21,0.0025667446995022067,96
AdamW,30,1,22,2,59,29,0.007516744699502208,48
Adagrad,18,2,26,1,35,17,0.009991744699502206,72
RMSprop,26,1,18,2,51,25,0.005041744699502207,120
Adam,28,1,20,2,55,27,0.006279244699502208,36
Adamax,20,2,28,1,39,19,0.0013292446995022077,84
Adadelta,16,2,24,2,63,31,0.008754244699502207,60
SGD,24,1,16,1,47,23,0.0038042446995022066,108
SGD,25,1,17,1,49,24,0.004422994699502207,114
Adadelta,17,2,25,2,33,16,0.009372994699502207,66
Adamax,21,2,29,1,41,20,0.0019479946995022079,90
Adam,29,1,21,2,57,28,0.006897994699502207,42
RMSprop,27,1,19,2,53,26,0.005660494699502207,126
Adagrad,19,2,27,1,37,18,0.0007104946995022078,78
AdamW,31,1,23,2,61,30,0.008135494699502206,54
Nadam,23,2,31,1,45,22,0.0031854946995022067,102
SGD,24,1,31,1,46,23,0.0034948696995022064,105
Adadelta,16,2,23,2,62,31,0.008444869699502207,57
Adamax,20,2,27,1,38,19,0.0010198696995022077,81
Adam,28,1,19,2,54,27,0.005969869699502207,33
AdamW,30,1,21,2,58,29,0.007207369699502207,45
Nadam,22,2,29,1,42,21,0.002257369699502208,93
Adagrad,18,2,25,1,34,17,0.009682369699502206,69
RMSprop,26,1,17,2,50,25,0.004732369699502207,117
SGD,25,1,16,1,48,24,0.004113619699502207,111
Adadelta,17,2,24,2,32,16,0.009063619699502206,63
Adamax,21,2,28,1,40,20,0.001638619699502208,87
Adam,29,1,20,2,56,28,0.0065886196995022074,39
RMSprop,27,1,18,2,52,26,0.0053511196995022076,123
Adagrad,19,2,26,1,36,18,0.00040111969950220764,75
AdamW,31,1,22,2,60,30,0.007826119699502207,51
Nadam,23,2,30,1,44,22,0.0028761196995022065,99
Nadam,23,2,30,1,44,22,0.0027214321995022066,97
