Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
29,3,56,23,0.007689668952291234,127,0.19337426126003265
17,1,42,20,0.0019128491828066848,89,0.887238621711731
21,1,59,21,0.0022224227967992355,38,0.5706301331520081
32,3,46,26,0.004151921901701951,92,0.226781964302063
23,3,61,19,0.007393809950627143,124,0.24165768921375275
28,2,37,30,0.0013901330540655112,41,0.41967540979385376
32,2,36,23,0.006861804053631513,113,0.3187776505947113
24,1,59,26,0.006374199412841577,57,0.44592615962028503
23,3,38,20,0.002099456709164658,75,0.38801491260528564
21,1,56,30,0.008392322539475259,45,0.403791218996048
23,3,40,23,0.004766908045258138,48,0.14698173105716705
20,2,53,16,0.0013618850319754943,36,0.4647238850593567
26,3,36,27,0.007537338550203253,36,0.09669174253940582
16,2,39,31,0.0008433764583942099,65,2.1811885833740234
20,3,35,21,0.008603950633404765,83,0.1678829789161682
20,2,41,29,0.003932614047382152,60,0.29933497309684753
28,3,64,30,0.009299129152329734,84,0.13925042748451233
22,2,62,27,0.0010531182403901098,84,1.546165943145752
27,1,52,31,0.0016036729663920575,92,1.8275831937789917
20,3,39,26,0.004067884980160278,96,0.3127475380897522
32,2,54,32,0.0006731418527516855,97,2.1495490074157715
20,1,57,20,0.00522749951028195,76,0.5401302576065063
26,1,35,28,0.0006316646532499433,86,2.231593132019043
17,2,54,27,0.003879193827466533,56,0.25006183981895447
22,2,50,22,0.0015718324482108309,101,0.7457258701324463
18,2,52,32,0.002072298467561023,40,0.3156483769416809
19,2,59,24,0.005917994333247017,87,0.2799748182296753
27,2,62,32,0.0024171501514109054,99,0.479883074760437
25,1,39,17,0.00493990971912259,121,0.6715525388717651
26,2,49,23,0.008014473057881836,70,0.19166938960552216
24,3,52,29,0.0013763570328441375,78,0.6973866820335388
17,3,55,29,0.006182012304024191,111,0.22176365554332733
20,2,42,18,0.0006249292706165938,36,0.7678331136703491
27,2,59,21,0.0013502099161932343,120,1.458151936531067
29,2,45,24,0.005998613608696337,67,0.2429397851228714
32,2,41,16,0.0027732490378572505,49,0.31397685408592224
16,1,36,18,0.00636481491899477,98,0.5470278263092041
20,1,61,19,0.004868214786809793,68,0.5097332000732422
32,2,53,19,0.007193203657426617,126,0.2976554334163666
17,2,40,25,0.006542578278938205,99,0.3223517835140228
22,1,44,25,0.0027458239789548357,76,0.6172007322311401
22,3,53,21,0.003209735269328672,116,0.33448073267936707
25,2,40,22,0.0055512955483605735,113,0.32619449496269226
31,1,53,30,0.002063732687169526,67,0.8369351625442505
20,1,55,21,0.006893896539123158,48,0.40810707211494446
27,2,40,24,0.007261150580365626,58,0.16426348686218262
28,2,48,30,0.0036274916809497953,82,0.34624460339546204
16,1,64,27,0.007192562576608884,88,0.5059268474578857
31,1,39,16,0.006159938742978901,114,0.5623526573181152
