Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
0.4,22,3,19,3,33,17,0.0054866272209468,63,0.0397406071424484
0.4,24,2,24,1,50,25,0.0054664264566886,127,0.0514795258641243
0.8,21,2,17,3,41,28,0.0099886192647937,99,0.0439083836972713
0.2,32,1,31,3,33,32,0.0090131319034689,78,0.0740342438220977
0.8,23,1,18,2,55,30,0.0013484277757789,106,0.0685890316963195
0.7,31,2,20,3,51,16,0.0090858217385374,88,0.036765344440937
0.4,17,2,16,3,58,31,0.0087292050683962,32,0.0662740692496299
0.7,21,1,17,2,32,23,0.0038837011285824,119,0.0956004410982132
0.6,25,3,26,1,50,20,0.0008241854774344,75,1.1065542697906494
0.1,23,3,24,2,33,17,0.0040102318256818,67,0.2571336030960083
0.1,19,2,28,2,56,25,0.0074890915166127,74,0.2141822576522827
0.9,27,1,23,3,48,16,0.0002055064535834,85,2.3024301528930664
0.8,26,2,20,3,55,26,0.0074506728727879,39,0.0509817637503147
0.6,16,2,31,3,59,18,0.0050647888365693,96,0.167527437210083
0.5,18,3,16,2,35,26,0.0045547687685955,65,1.860476016998291
0.2,22,3,18,2,36,31,0.0078428993423668,82,0.0510589107871055
0.9,27,3,22,1,47,28,0.0085582237208976,76,2.301192283630371
0.3,20,2,31,3,49,26,0.0063924163709811,51,0.0431451722979545
0.7,16,3,19,2,51,23,0.0086282219187586,123,0.0342926755547523
0.8,30,2,31,1,60,18,0.0082798652206155,103,0.0467490628361702
0.1,32,2,24,1,41,19,0.0015534291435376,43,0.5320998430252075
0.9,22,3,24,2,44,16,0.0086751091640134,55,2.301188945770264
0.6,22,1,23,1,56,27,0.0012172316685308,127,1.2044979333877563
0.7,16,3,26,2,61,32,0.0039818237385099,57,0.0306818354874849
0.8,22,1,17,3,33,31,0.003985881303196,98,0.0545285530388355
0.5,23,1,23,1,42,21,0.0018338597490561,56,2.256208896636963
0.6,29,2,31,2,35,30,0.0047337188728764,66,0.199702650308609
0.6,23,2,18,1,33,18,0.0065552703308491,50,0.2820661664009094
0.9,26,1,27,2,40,16,0.0083979639671559,97,2.301194190979004
0.9,29,1,18,3,51,21,0.0015170068978037,82,2.30176329612732
0.1,29,3,23,3,60,17,0.0083508283173303,122,0.2055656015872955
0.6,32,3,26,1,38,29,0.0075136471882483,50,0.1538849174976349
0.1,24,1,29,1,36,16,0.0031310581055,90,0.8085072040557861
0.2,32,1,19,1,57,19,0.0080297611827878,44,0.3450729846954345
0.1,32,1,16,2,53,18,0.008977011466741,98,0.2877038717269897
0.4,28,2,25,1,37,18,0.0013958086696275,67,0.0607345215976238
0.1,24,1,21,2,63,24,0.0005440101617975,81,2.1597859859466557
0.8,32,2,27,1,51,16,0.0061100023856582,106,0.0434863492846488
0.6,29,2,30,3,34,21,0.0057579039990042,125,0.1775262951850891
0.9,31,2,31,2,34,30,0.0029647587220423,81,2.301421880722046
0.3,28,2,27,1,47,27,0.0074162225767277,65,0.057673592120409
0.9,25,1,22,3,51,31,0.0041412137260085,109,2.301321029663086
0.7,17,1,27,3,46,31,0.0064882489889425,92,0.0536256954073905
0.8,16,3,28,1,35,29,0.0012376920091043,47,0.042292408645153
0.2,28,2,20,2,47,32,0.0097072278232835,73,0.0681618377566337
0.6,27,2,20,2,37,20,0.0065842499683174,74,0.1921547353267669
0.8,32,3,29,2,62,18,0.0077833538067348,115,0.0320516191422939
0.5,18,1,18,2,60,29,0.0001228673801096,126,2.2938694953918457
0.1,16,1,28,2,36,22,0.0037031269589445,119,0.4851308166980743
0.8,18,3,30,3,38,25,0.0029519284779021,116,0.0296907667070627
