Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
RMSprop,23,3,22,3,64,30,0.01,118,-0.3545144674447403
Adam,28,3,23,3,49,31,0.01,73,-0.34176079843448925
RMSprop,23,3,32,3,59,28,0.01,74,-0.34480311653105433
RMSprop,21,3,29,3,53,28,0.01,57,-0.3496732607781456
Adam,19,3,32,3,55,32,0.01,90,-0.35643562778731186
Adadelta,28,3,27,3,21,32,0.01,94,-0.34867613038196066
RMSprop,22,3,32,3,64,29,0.01,53,-0.35258727124982114
RMSprop,32,3,26,3,62,32,0.01,116,-0.35339252166975516
Adam,23,3,32,3,64,31,0.01,95,-0.352451681568979
AdamW,25,3,32,3,64,27,0.01,128,-0.3462983736627239
AdamW,25,3,27,3,51,15,0.01,42,-0.3393468030550775
Adam,32,3,29,3,56,25,0.01,80,-0.35058807395521396
Adam,26,3,32,3,64,22,0.01,55,-0.35362417068048835
Adadelta,32,3,32,3,64,22,0.01,100,-0.35287813987514205
RMSprop,32,2,32,3,64,27,0.01,97,-0.35012031010915384
SGD,32,3,24,3,64,28,0.01,66,-0.33444481848031626
RMSprop,29,3,24,2,64,26,0.01,55,-0.3571090616272649
AdamW,23,3,22,3,55,27,0.01,96,-0.35260514192439135
Adam,29,3,32,3,37,23,0.01,43,-0.3432187199108864
Adam,24,3,32,3,64,27,0.01,74,-0.3356701655960567
