Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Nadam,29,2,28,1,34,27,0.0013387653717728,71,0.052321597933769226
SGD,21,2,16,2,58,27,0.0029598506225439,87,0.3835810422897339
Adam,27,1,23,2,33,19,0.0086493281367209,47,0.08235801011323929
SGD,21,1,25,1,56,22,0.0031221587561367,73,0.6010794639587402
SGD,21,2,30,2,55,20,0.0022925334596243,49,0.30969423055648804
Adagrad,26,2,21,2,37,17,0.0082122769331742,54,0.12100359052419662
Adadelta,27,2,23,1,44,19,0.0025977814533689,104,2.217712163925171
SGD,16,2,23,2,35,23,0.0039024835825648,86,0.35884493589401245
SGD,25,1,17,2,55,25,0.0025348856036231,79,0.45178139209747314
Adadelta,23,1,20,1,59,29,0.0081678757958256,106,1.6944817304611206
Adam,22,1,30,2,51,26,0.0064194622242586,72,0.06619001179933548
Adagrad,30,1,24,1,42,22,0.0075926313908331,61,0.4437817633152008
SGD,29,2,24,2,49,27,0.005808406006679,46,0.1779850423336029
Nadam,20,2,22,1,40,20,0.0074644499515136,66,0.05834772437810898
Adadelta,18,2,26,1,43,18,0.0010423538148614,126,2.262331008911133
Adadelta,25,1,21,1,34,31,0.0091062181371493,122,2.0355377197265625
SGD,27,1,21,2,58,27,0.0032506627175992,84,0.3864361643791199
AdamW,19,2,22,2,40,20,0.0053630694585556,117,0.039775826036930084
Adadelta,18,2,20,1,32,20,0.0032743492319558,88,2.1961448192596436
SGD,23,2,24,1,53,16,0.0015700255024701,59,0.537275493144989
Adadelta,25,1,18,1,43,25,0.0097420098067818,62,1.381722092628479
RMSprop,25,2,30,1,58,26,0.0036591786046231,57,0.03873681649565697
SGD,28,2,20,1,41,20,0.0034590071683657,88,0.556968092918396
SGD,19,1,24,2,57,16,0.0003705867228398,49,2.2020113468170166
Adagrad,18,2,28,2,52,23,0.0012946361561379,90,0.47573354840278625
Adam,16,2,29,2,34,16,0.0057988117363029,45,0.04263710230588913
Nadam,17,2,28,1,45,18,0.001476954466444,89,0.058683838695287704
SGD,26,1,20,2,58,27,0.0040299921862266,94,0.3830660283565521
Adagrad,16,1,24,1,38,30,0.0009460408068786,116,1.6763925552368164
SGD,29,1,24,1,45,28,0.0069769300338809,119,0.5561213493347168
Adadelta,23,2,31,2,52,29,0.0088470429061874,44,0.4561968743801117
AdamW,17,2,28,1,59,21,0.0057144156612265,55,0.054546572268009186
RMSprop,25,2,19,2,49,30,0.0087514392782169,56,0.07955729961395264
Nadam,31,1,25,2,40,17,0.0090257063744182,56,0.07413440942764282
Adadelta,24,2,17,1,41,16,0.0036486433754856,47,2.193524122238159
Adadelta,24,1,17,1,32,19,0.0023328089070138,103,2.2830984592437744
Adam,28,1,18,1,61,20,0.0039772080834219,114,0.3085416257381439
SGD,29,1,24,1,57,24,0.0048520147703796,74,0.5133329033851624
Adamax,24,1,31,2,38,27,0.0018109852004279,53,0.08460510522127151
Adamax,17,2,18,1,35,31,0.007867983403749,60,0.0547616183757782
Nadam,25,2,19,2,61,17,0.0060076346201662,119,0.030931061133742332
Adam,17,1,17,1,47,19,0.0011283838745435,92,0.3043874204158783
SGD,23,1,20,1,58,25,0.0042445342546545,98,0.7281384468078613
AdamW,30,1,19,2,38,22,0.0028043738249062,83,0.07100072503089905
Adagrad,27,1,31,1,46,17,0.0074352231158942,116,0.47267279028892517
Adagrad,30,2,22,2,38,17,0.0061601592455019,35,0.13906365633010864
AdamW,25,1,23,1,56,23,0.0095840936457633,115,0.3209567070007324
AdamW,27,1,27,2,48,28,0.0057239386545121,116,0.06569595634937286
Adam,22,1,29,2,35,28,0.0088153468092733,79,0.07646971940994263
Adagrad,23,1,20,1,43,27,0.0099039827894923,70,0.3724496364593506
Adam,21,1,23,1,55,16,0.0027672448655815,91,0.20981785655021667
SGD,20,1,21,1,49,17,0.0002243495213445,110,2.2935590744018555
Adamax,28,2,30,1,32,27,0.0043404590218346,126,0.0668647363781929
Adadelta,31,1,29,1,61,30,0.0094460301747365,57,0.8822358846664429
Nadam,19,2,28,2,35,21,0.0019358443665186,102,0.03982820361852646
SGD,23,1,20,1,52,26,0.0072391691697585,57,0.4520147144794464
AdamW,21,2,18,1,54,28,0.0042527253084295,115,0.04867039620876312
RMSprop,21,1,21,1,46,16,0.0071515744979687,117,0.2460939586162567
Nadam,30,2,29,2,36,17,0.0063873631375875,33,0.05522756651043892
Adam,19,2,21,2,61,23,0.0037797658755645,119,0.034112054854631424
RMSprop,21,1,17,2,36,28,0.0063137428340822,68,0.06816684454679489
SGD,17,2,31,1,57,30,0.0035727585106526,87,0.4896153211593628
RMSprop,23,2,30,1,58,23,0.0087218817596884,52,0.08542698621749878
RMSprop,31,1,31,2,60,22,0.0036308861050009,94,0.05212857201695442
Nadam,26,1,23,1,50,20,0.0023829011517839,36,0.19325123727321625
SGD,24,1,23,1,48,16,0.005445289741365,60,0.48469313979148865
RMSprop,16,1,31,1,46,20,0.0023669635429428,100,0.26106536388397217
Adadelta,28,1,26,2,41,25,0.0003802505860231,42,2.285019636154175
Nadam,30,1,16,2,37,23,0.0083820092728923,126,0.06630720943212509
AdamW,24,2,22,1,33,20,0.0019194044453183,53,0.05628756061196327
SGD,31,2,16,2,47,23,0.0021545864844153,121,0.8344854116439819
Adagrad,26,2,20,1,42,19,0.0081723478251991,50,0.23386110365390778
RMSprop,16,1,24,2,57,25,0.0090355730098043,105,0.058935053646564484
Adadelta,26,2,18,2,39,24,0.0009286580042767,94,2.2887513637542725
RMSprop,28,2,21,2,59,20,0.0051165091031562,99,0.03463771939277649
RMSprop,20,1,21,1,62,31,0.0068041282471449,93,0.31071361899375916
Adam,29,1,24,1,57,16,0.0079481697822932,45,0.31989362835884094
SGD,16,1,26,2,56,27,0.0018375657442139,120,0.9679146409034729
Adam,20,2,20,1,52,16,0.0048946407626664,121,0.04629006236791611
Adadelta,31,2,22,2,37,22,0.0037260512665474,37,1.5646413564682007
Adam,21,1,22,2,49,21,0.0063520921873524,50,0.06863667070865631
Adamax,23,1,22,2,33,26,0.0069267779828887,41,0.0696190819144249
AdamW,27,1,22,1,49,27,0.0044194366811201,72,0.20411039888858795
SGD,30,2,25,2,54,21,0.008683142523574,104,0.25688305497169495
Nadam,28,1,17,1,55,25,0.0086160098388376,109,0.23178136348724365
Adadelta,24,1,20,2,34,31,0.0001331055189389,70,2.3017449378967285
Adadelta,31,2,20,2,56,24,0.0052759600150191,78,1.5903258323669434
