Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Nadam,25,2,22,2,46,24,0.006498166190429008,127,0.033925291150808334
Adamax,23,1,21,1,37,27,0.009889752921069115,104,0.2715943157672882
SGD,24,2,22,1,54,19,0.0013102822978695908,114,1.5179158449172974
Nadam,28,1,27,2,45,24,0.0004392781566649282,57,0.08263318985700607
Adamax,22,2,28,2,38,17,0.007342309385039123,79,0.03685463219881058
Adadelta,22,2,16,1,62,20,0.00940021608713206,47,0.8931080102920532
Nadam,22,2,18,2,38,28,0.00815064301974041,48,0.053724292665719986
AdamW,19,2,22,1,58,30,0.008356316485713682,70,0.05604041740298271
Adamax,30,1,31,2,33,20,0.0057044026623900715,48,0.07259149104356766
RMSprop,23,2,17,1,56,28,0.006792680093344653,75,0.055188026279211044
Adamax,25,1,29,2,62,17,0.0096873128384588,73,0.06266533583402634
Adamax,29,2,18,1,40,26,0.006636915465396875,94,0.05538087338209152
Adam,22,2,29,2,58,29,0.004611382716734696,46,0.03566233813762665
Adam,16,2,29,2,60,27,0.008998169463470016,76,0.048456840217113495
AdamW,23,1,18,1,52,26,0.002256520251005875,87,0.2095070779323578
Adadelta,31,2,18,1,53,16,0.007116567931609604,82,1.9373655319213867
SGD,26,1,18,2,42,23,0.0017373132133398806,101,1.460079550743103
Nadam,25,1,24,1,59,23,0.0034238635920748194,111,0.23912790417671204
Adadelta,27,1,28,2,33,24,0.009595130577206694,46,0.6683648228645325
Adadelta,22,2,26,1,59,17,0.0003391882463005682,119,2.2837536334991455
Adagrad,26,1,26,2,43,28,0.0077780969847465724,126,0.24400128424167633
RMSprop,21,1,29,2,57,19,0.006139380371147054,93,0.06093562766909599
Nadam,19,2,29,2,40,24,0.005786159497643542,88,0.0360102653503418
RMSprop,22,1,26,2,51,18,0.009853182916000028,108,0.06917906552553177
RMSprop,25,2,25,2,49,27,0.008004419280170202,116,0.04302539303898811
Adagrad,31,1,23,2,33,24,0.0031311107741048673,43,0.27930063009262085
Adam,28,1,30,1,50,17,0.0011431500666798109,43,0.2847754955291748
Nadam,22,1,27,2,38,16,0.005976415619788116,33,0.0665477067232132
Adam,24,2,19,2,48,28,0.00993331416205942,119,0.049830105155706406
Adam,17,1,30,1,35,27,0.009176828402098183,71,0.3540709614753723
Adadelta,21,2,23,1,62,23,0.006791499957187888,125,1.3971335887908936
Adadelta,26,2,21,1,56,29,0.001966585503651273,75,2.252120018005371
Nadam,25,1,21,1,53,26,0.0030413829675528113,45,0.22198444604873657
Adamax,29,1,30,2,53,21,0.0007160806996729033,58,0.11772017925977707
