Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,18,3,30,3,64,24,0.01,128,0.03429749608039856
Adadelta,28,3,27,3,40,30,0.01,97,0.510327160358429
Adam,25,3,32,3,64,25,0.01,63,0.047813333570957184
AdamW,29,3,27,2,64,30,0.01,54,0.05723290890455246
RMSprop,32,2,25,2,64,32,0.01,98,0.055574070662260056
AdamW,27,3,24,3,56,32,0.01,62,0.052652426064014435
AdamW,32,3,30,3,45,25,0.01,126,0.03914867714047432
Adam,32,2,17,3,45,32,0.01,112,0.047913748770952225
Adadelta,26,3,20,3,63,31,0.01,78,0.4948660731315613
Adam,29,3,27,3,64,32,0.01,17,0.09898266941308975
Adadelta,21,3,24,3,58,19,0.01,128,0.6354777216911316
Adam,30,3,32,3,57,29,0.01,98,0.04342320188879967
Adam,23,3,30,3,64,24,0.01,60,0.05585610494017601
AdamW,30,3,32,3,45,25,0.01,86,0.04167979210615158
RMSprop,29,3,22,3,41,32,0.01,68,0.07774700224399567
Adam,32,3,31,2,48,32,0.01,76,0.04947025328874588
RMSprop,28,3,21,3,64,32,0.01,59,0.08812973648309708
Adam,20,3,32,3,57,32,0.01,94,0.04332752525806427
Adadelta,32,3,28,3,42,23,0.01,87,0.6252701878547668
RMSprop,30,3,27,3,51,28,0.01,128,0.05571824312210083
