Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adadelta,29,3,32,3,55,18,0.01,128,0.5950725674629211
RMSprop,30,1,32,3,47,29,0.01,77,0.08148941397666931
Adam,32,3,24,3,52,31,0.01,38,0.06971338391304016
Adam,28,3,21,3,64,31,0.01,66,0.05822823941707611
RMSprop,24,3,24,3,43,21,0.01,75,0.07295633852481842
RMSprop,28,3,18,3,58,32,0.01,128,0.05657687038183212
Adam,23,3,32,3,47,30,0.01,91,0.04294851794838905
Adadelta,28,3,21,3,48,27,0.01,106,0.588779628276825
AdamW,32,3,25,3,56,32,0.01,69,0.05426491051912308
AdamW,32,3,24,2,64,30,0.01,73,0.0527099184691906
Adadelta,32,2,26,3,60,26,0.01,90,0.5715739727020264
Adam,32,3,32,3,63,21,0.01,85,0.04437435045838356
Adam,29,3,29,3,51,23,0.01,128,0.04144534096121788
AdamW,29,2,27,3,55,32,0.01,128,0.039568010717630386
Adam,32,3,20,3,25,29,0.01,93,0.04676634445786476
Adadelta,21,3,32,3,53,28,0.01,123,0.5345818400382996
RMSprop,32,3,25,3,64,32,0.01,128,0.049305520951747894
Adadelta,32,3,21,3,48,31,0.01,85,0.495622456073761
Adam,23,3,32,3,49,27,0.01,64,0.050034768879413605
AdamW,24,2,24,3,53,30,0.01,128,0.04046178236603737
