Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adam,24,3,30,2,64,32,0.01,44,0.06209167465567589
AdamW,32,2,27,3,61,24,0.01,128,0.03929915279150009
RMSprop,31,2,32,3,63,30,0.01,50,0.096308134496212
AdamW,32,3,32,3,64,26,0.01,128,0.0403798446059227
AdamW,30,3,20,3,54,21,0.01,122,0.044798269867897034
AdamW,32,3,32,3,58,26,0.01,74,0.04597635939717293
Adam,24,3,30,3,64,31,0.01,125,0.037449803203344345
RMSprop,27,3,24,3,44,19,0.01,47,0.10392726212739944
RMSprop,31,2,19,3,64,31,0.01,40,0.12881486117839813
Adadelta,22,3,21,3,59,32,0.01,121,0.6472777128219604
AdamW,20,3,23,3,64,32,0.01,113,0.043411318212747574
Adam,29,3,28,3,57,26,0.01,73,0.0511372871696949
Adadelta,32,3,32,3,64,26,0.01,92,0.5151383280754089
AdamW,32,3,27,3,40,31,0.01,99,0.04441861808300018
AdamW,18,3,32,3,64,24,0.01,128,0.040664758533239365
Adam,26,3,20,3,57,32,0.01,78,0.04590095952153206
RMSprop,30,1,29,3,52,24,0.01,82,0.07311324030160904
Adam,22,3,25,3,64,21,0.01,54,0.0594823844730854
AdamW,31,2,32,3,47,28,0.01,128,0.04151862487196922
Adam,24,3,23,3,61,26,0.01,82,0.04813085496425629
