Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
AdamW,24,3,32,3,58,20,0.01,117,-0.3523903474533651
Adam,9,2,28,3,64,29,0.01,120,-0.35363464076806383
AdamW,28,3,32,3,55,25,0.01,128,-0.3570887452063285
RMSprop,32,2,25,3,64,24,0.01,64,-0.35660155016144474
Adadelta,30,3,32,3,45,27,0.01,128,-0.3527844034141957
SGD,26,3,27,3,64,28,0.01,119,-0.3548824442347488
RMSprop,32,3,32,3,54,26,0.01,128,-0.35338018221815404
Adam,17,3,30,3,57,32,0.01,48,-0.3517911512746389
RMSprop,27,3,25,3,64,32,0.01,66,-0.34712349456006647
AdamW,27,3,32,3,49,30,0.01,88,-0.35081196155089833
Adam,32,3,24,3,61,32,0.01,128,-0.3565412767367367
AdamW,28,3,32,3,39,24,0.01,128,-0.3412613107111737
AdamW,32,3,16,3,55,32,0.01,31,-0.35216561472779917
AdamW,26,3,28,3,57,19,0.01,124,-0.3446229458774449
AdamW,19,2,24,1,61,32,0.01,55,-0.34652589350340557
RMSprop,32,3,32,3,64,24,0.01,128,-0.35171132398301097
Adam,21,2,20,3,53,32,0.01,110,-0.3542242613657306
RMSprop,29,3,30,2,64,29,0.01,79,-0.3530196982813583
RMSprop,32,3,32,2,48,30,0.01,109,-0.35591328218678553
RMSprop,27,3,28,3,43,32,0.01,68,-0.3486610875535371
