Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adamax,25,1,16,2,40,26,0.0051988744206576,43,0.07801104336977005
Adadelta,25,1,29,2,47,21,0.004423217832708,114,2.0215446949005127
RMSprop,19,2,19,1,37,16,0.0003347826086956,87,0.14333771169185638
AdamW,25,2,25,2,42,22,0.0026339439417347,111,0.0359942726790905
Adagrad,28,2,20,1,42,27,0.0063414036636504,90,0.3224264085292816
Adamax,23,1,23,2,60,19,0.0090759655705142,97,0.06868861615657806
Adadelta,22,1,21,2,38,21,0.0043288677996027,118,1.9550257921218872
RMSprop,27,2,24,1,50,17,0.0019,109,0.04593295976519585
AdamW,25,2,31,1,61,21,0.0012723239902891,126,0.06635939329862595
Adadelta,19,2,21,1,50,24,0.0061662105495475,67,1.740984320640564
Adamax,30,2,28,1,43,26,0.0014123593025822,97,0.09480799734592438
SGD,25,1,22,1,50,16,0.0033698741999558,70,0.5772855877876282
Adadelta,18,1,24,1,60,24,0.0090662326197307,51,1.1194696426391602
Adagrad,30,1,16,1,40,28,0.0026466563672478,69,0.6300956010818481
Nadam,31,2,25,1,39,27,0.0009350474508938,34,0.05420752242207527
Adamax,16,2,25,2,37,16,0.0040756124475833,34,0.04363951086997986
Adagrad,25,2,31,2,62,24,0.0002388435224012,117,2.175407886505127
Adamax,17,2,30,2,54,27,0.0033968881041712,103,0.040918394923210144
Adamax,28,2,25,1,46,30,0.005654535422644,94,0.05808526277542114
SGD,28,1,24,1,58,28,0.0041016331935555,63,0.5231278538703918
Adagrad,30,2,17,1,35,27,0.0085402560141249,81,0.34184181690216064
AdamW,27,1,21,2,39,22,0.0017228205694107,38,0.06698017567396164
Adamax,23,2,28,1,48,27,0.0068941955418229,34,0.046727705746889114
RMSprop,21,2,19,2,63,27,0.0029807548002648,102,0.027915799990296364
AdamW,19,1,29,1,37,26,0.0096015449128227,120,0.27680543065071106
SGD,29,2,18,2,57,26,0.0078249834473626,100,0.2784315049648285
Adadelta,20,1,25,1,44,17,0.0065749944824542,125,1.8692004680633545
RMSprop,28,1,24,2,55,16,0.0015428602957404,63,0.06893756240606308
RMSprop,30,2,24,2,46,20,0.0030623924078569,124,0.030994553118944168
AdamW,22,2,19,1,58,31,0.0038543367909953,46,0.04711472988128662
Adagrad,17,1,29,2,37,22,0.0052455528580887,97,0.2696046829223633
Adamax,29,2,23,2,34,26,0.0080988964908408,80,0.0380358025431633
Adagrad,29,2,25,1,39,18,0.001684286029574,122,0.8390105366706848
AdamW,31,2,23,1,61,19,0.00278828073273,67,0.040771666914224625
SGD,20,2,30,2,49,29,0.0018644449348929,41,0.31873390078544617
Adadelta,30,2,23,1,55,20,0.0078772235709556,47,1.1013239622116089
Nadam,24,2,27,1,38,19,0.0096984771573604,86,0.05398277938365936
SGD,25,1,16,1,40,27,0.0012496799823438,117,2.2364654541015625
SGD,30,2,31,2,47,26,0.0038910836459942,33,0.18728245794773102
Adamax,25,2,23,1,61,17,0.0089913484881924,91,0.05001332238316536
Adamax,25,1,28,2,37,25,0.0044190465680865,71,0.0722724124789238
SGD,24,2,21,1,49,24,0.0086304347826086,76,0.3448052406311035
Adamax,17,2,23,2,54,23,0.00524535422644,74,0.03727707639336586
SGD,16,1,20,2,61,16,0.0014336128889869,104,2.1352310180664062
Adagrad,23,2,18,1,56,28,0.0035631427940851,33,0.3740868866443634
Adamax,26,2,26,2,41,23,0.0090811299933789,78,0.038273151963949203
Adadelta,28,1,26,1,50,29,0.0055820348708894,47,1.6580193042755127
Adam,29,1,22,1,52,20,0.0037152946369454,57,0.20056799054145813
SGD,28,1,16,2,62,19,0.0032097770911498,122,0.6405326724052429
AdamW,18,2,25,1,38,17,0.0046180754800264,100,0.05545565485954285
Adadelta,23,1,20,2,63,16,0.0077054071948797,58,0.8798701763153076
Adadelta,22,1,31,1,36,20,0.0001266166409181,85,2.3053555488586426
Nadam,31,2,26,1,32,24,0.0065593025822114,69,0.052876658737659454
Adadelta,27,2,22,1,55,16,0.0043419774884131,84,2.1188530921936035
Adam,22,2,19,2,63,27,0.0009489516662988,32,0.03625047951936722
Adam,23,2,17,1,55,19,0.0041588391083646,110,0.044708091765642166
Nadam,26,1,23,2,37,27,0.0068878393290664,105,0.06010427325963974
SGD,25,1,30,2,47,22,0.0032878393290664,76,0.4216406047344208
AdamW,29,1,22,1,46,31,0.0035116971970867,69,0.2508472204208374
Adam,16,2,24,1,54,18,0.0082987199293754,47,0.06736336648464203
AdamW,31,2,29,1,45,18,0.0031909070845288,118,0.04793288931250572
Adam,19,1,17,2,42,16,0.008034341205032,94,0.06612960994243622
Adadelta,19,2,23,1,53,23,0.0065996248068858,76,1.174848198890686
SGD,31,2,27,2,38,18,0.0037224453762966,65,0.3286402225494385
Nadam,18,1,18,2,34,23,0.0098001765614654,107,0.06753493845462799
Adam,18,1,19,1,61,29,0.0075403442948576,58,0.24785012006759644
RMSprop,23,2,31,1,33,29,0.0047684396380489,61,0.050644420087337494
Adagrad,23,1,24,1,55,25,0.0029859192231295,83,0.5475408434867859
Adamax,20,1,25,2,32,17,0.0080007724564113,90,0.07961905747652054
Adagrad,24,1,22,1,56,16,0.0041854557492827,82,0.5038462281227112
Adadelta,28,1,22,2,61,20,0.0055498565438093,35,0.9785473346710205
SGD,31,2,19,2,43,31,0.0038569190024277,77,0.30069196224212646
Adagrad,17,2,27,2,43,17,0.0079366144338998,101,0.18689095973968506
Adamax,20,2,28,2,61,29,0.0037115206356212,67,0.03446072340011597
Adam,28,1,22,2,44,26,0.0022535643345839,32,0.060848258435726166
Adadelta,16,1,30,2,33,29,0.0040094681085853,126,2.147941827774048
AdamW,28,1,24,1,45,21,0.0046313838004855,33,0.25820618867874146
AdamW,25,1,16,2,57,16,0.0027868903111895,60,0.06610120087862015
SGD,17,1,31,1,55,24,0.0096633193555506,105,0.47920310497283936
SGD,27,1,26,1,47,31,0.0080945265945707,72,0.4463982880115509
Nadam,23,2,23,1,53,19,0.004911851688369,123,0.038226544857025146
RMSprop,22,1,30,1,47,22,0.0057967556830721,86,0.3345695734024048
