Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
Adam,27,3,22,3,64,31,0.01,128,-0.3500445151792703
Adam,32,3,22,3,48,20,0.01,78,-0.35371127623218396
Adam,25,3,27,3,57,31,0.01,123,-0.3488750287273112
AdamW,26,3,24,3,61,32,0.01,78,-0.3507568985871315
Adagrad,25,3,29,3,60,28,0.01,80,-0.33862276781017975
Adam,32,3,25,3,64,28,0.01,60,-0.35444648293036163
AdamW,24,3,32,3,61,29,0.01,128,-0.3539474138241502
AdamW,26,3,21,3,58,32,0.01,52,-0.3509915557095326
AdamW,29,3,32,3,54,29,0.01,92,-0.35020887355231395
AdamW,21,3,26,3,58,28,0.01,128,-0.3515629341275059
Adadelta,26,3,30,3,64,32,0.01,125,-0.3573940522930622
Adam,32,3,24,3,37,29,0.01,112,-0.350844678217241
Adam,30,3,26,3,58,31,0.01,84,-0.35057915979409493
AdamW,24,3,30,3,64,24,0.01,118,-0.3520243951493943
AdamW,32,2,30,3,41,32,0.01,108,-0.34512011109860413
RMSprop,32,3,32,3,62,27,0.01,89,-0.35306149206852894
Adadelta,32,3,29,3,45,25,0.01,114,-0.34773139692155686
AdamW,26,3,26,3,55,23,0.01,64,-0.35422324712612624
RMSprop,32,3,28,3,56,25,0.01,88,-0.3448227699713432
AdamW,22,3,16,3,51,26,0.01,79,-0.3527372261358534
