Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adadelta,19,2,22,1,59,27,0.0020167305414523,36,2.1066792011260986
SGD,20,2,25,2,56,19,0.0039693278031908,101,0.41523656249046326
RMSprop,26,1,17,2,50,28,0.0094410533171774,57,0.10398457199335098
Adagrad,30,2,16,2,34,16,0.0033775178111563,47,0.23430977761745453
Nadam,25,2,26,2,40,30,0.0009224204610876,75,0.04885007441043854
RMSprop,28,2,29,2,59,21,0.0076854516196577,71,0.05089826136827469
RMSprop,28,2,27,1,61,30,0.0020422684118216,125,0.043235328048467636
Adam,28,2,17,2,39,18,0.0004434111651439,57,0.07228676974773407
Nadam,16,2,26,2,42,22,0.0095450377701235,45,0.0593893863260746
Adamax,23,1,18,2,41,28,0.0092644553363247,35,0.06956834346055984
Adadelta,28,1,19,1,43,29,0.0060818355874904,51,1.9220353364944458
Adamax,20,1,28,2,52,23,0.0016018872899881,127,0.10021012276411057
Adamax,17,1,26,2,51,21,0.0047055730783616,87,0.07515912503004074
Adam,17,1,19,2,60,21,0.0059652917389948,54,0.06737402826547623
Adamax,31,1,28,2,44,16,0.0026267373003143,32,0.07155421376228333
Adam,25,2,21,1,37,19,0.0088025997958055,39,0.08519761264324188
Adam,21,1,18,1,59,27,0.0092099595737052,70,0.20979690551757812
Nadam,21,2,29,1,38,29,0.0076204491452076,104,0.04661702364683151
Nadam,20,1,20,1,39,22,0.0003040115018252,34,0.3414791524410248
SGD,28,2,16,1,62,17,0.0072463405312908,100,0.41861817240715027
Nadam,18,1,19,1,43,28,0.0088836024491533,34,0.31168293952941895
Adagrad,16,1,23,2,59,16,0.0028991688840559,106,0.38763412833213806
Nadam,21,1,30,2,35,25,0.0094314890939987,35,0.0878201574087143
Nadam,31,2,24,2,52,19,0.0069008056277662,58,0.04146336391568184
Adagrad,31,1,31,2,46,23,0.0027358245706345,92,0.3358648121356964
AdamW,20,1,24,1,47,22,0.003038471081416,47,0.24995453655719757
Adam,31,1,22,2,54,20,0.0095317494633235,121,0.06391461938619614
AdamW,17,2,23,1,39,22,0.0014955520789293,86,0.06892318278551102
RMSprop,29,2,19,2,54,22,0.0099585213485606,127,0.04723866283893585
Adam,23,2,16,1,50,31,0.0095064761085658,95,0.0584765300154686
Adam,28,1,21,1,45,22,0.0084092858570329,51,0.2776915431022644
Adamax,16,2,16,1,55,29,0.0074027536493076,40,0.04466460645198822
RMSprop,16,2,26,1,52,16,0.0004176500251041,51,0.10412509739398956
AdamW,17,2,26,1,33,28,0.0043055910366151,54,0.051363155245780945
Adam,21,2,29,2,56,18,0.0049435195910129,60,0.03885645046830177
RMSprop,31,2,24,1,41,23,0.0053181264508003,77,0.051270514726638794
SGD,21,2,22,1,37,21,0.001403682093417,123,1.9077783823013306
Adagrad,30,1,31,1,42,20,0.0059336800172051,86,0.48847028613090515
Adadelta,17,2,30,2,52,23,0.0068881685177858,95,0.82232266664505
Adam,22,1,27,2,57,28,0.0004815880658344,100,0.09024380892515182
SGD,17,1,20,1,54,25,0.0026174456336547,51,0.5726484656333923
AdamW,18,1,31,1,40,21,0.003515659503912,61,0.2166682779788971
Adadelta,19,1,17,2,44,22,0.0061608983169839,126,1.9295250177383423
Adadelta,25,1,19,1,47,25,0.0099495373669203,71,1.114851713180542
Adadelta,22,1,19,1,41,30,0.0036653733552884,44,2.010240316390991
AdamW,16,2,19,2,63,26,0.0086332779659804,43,0.057666484266519547
Adadelta,30,1,29,2,57,18,0.0046164155919437,96,1.8327829837799072
Nadam,30,2,22,2,61,31,0.0080100039121459,119,0.035743363201618195
AdamW,31,2,18,1,44,26,0.0059205280604156,36,0.05995514243841171
SGD,17,1,17,2,53,19,0.0096441536636287,112,0.323789119720459
RMSprop,27,1,17,2,40,20,0.0076021149226462,122,0.0709981620311737
Adagrad,21,1,24,2,58,19,0.0010709871174851,79,0.6728531718254089
AdamW,20,2,24,2,44,25,0.0070294171042804,46,0.04562079906463623
RMSprop,28,2,26,1,52,28,0.0042014194602111,46,0.04932684451341629
Adam,23,1,22,1,57,29,0.0046012330139845,85,0.30123740434646606
Adagrad,29,2,26,2,34,20,0.0001287552410913,111,2.226534128189087
Adadelta,19,2,16,2,56,21,0.0022322698470571,39,2.0732812881469727
Adam,28,1,25,1,53,17,0.0077728077278317,75,0.2481662631034851
Adadelta,24,1,30,2,40,20,0.0051200600408384,64,1.5640218257904053
Adamax,18,1,31,2,62,24,0.0011782242710853,75,0.09154150635004044
Nadam,18,1,18,1,60,29,0.0049523549253291,89,0.17917387187480927
RMSprop,26,2,24,2,36,19,0.0052912735209874,85,0.03849710151553154
RMSprop,28,2,29,1,55,18,0.001850360635741,125,0.046898361295461655
Adam,17,1,26,2,34,18,0.0061333048977257,73,0.08221065253019333
AdamW,29,1,26,2,37,23,0.0075300452168212,101,0.07601797580718994
Adagrad,16,1,23,1,53,29,0.0012468473736773,58,0.7853335738182068
Adamax,17,1,27,2,55,17,0.0046588130087433,91,0.07391782850027084
RMSprop,30,1,24,2,35,23,0.0094884829548342,79,0.08609776198863983
AdamW,25,2,26,1,61,26,0.0063648966965664,114,0.04813557490706444
Adamax,27,1,19,2,32,17,0.0074460646692013,107,0.08698726445436478
Nadam,16,1,29,2,53,19,0.0076051796883065,73,0.06280051171779633
Adadelta,29,1,24,1,41,21,0.0053492018395404,84,2.000213384628296
Adadelta,27,1,20,1,62,20,0.0081588223850697,48,1.2947384119033813
