Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
SGD,61,24,0.0054663467021451,52,0.4121793508529663
Adagrad,63,25,0.0046948820791255,64,0.3536055386066437
Adamax,48,30,0.0075296744266509,98,0.08022670447826385
Adamax,38,29,0.0075832679547763,85,0.10011381655931473
Adamax,42,16,0.0015981721830949,74,0.18851080536842346
RMSprop,46,24,0.0040659494334112,42,0.08882424980401993
AdamW,58,25,0.0053916914963057,37,0.08081527054309845
Nadam,62,19,0.0037214322525126,52,0.06496801227331161
SGD,42,21,0.0051173351224054,34,0.3642755448818207
Adadelta,63,27,0.0074907140983948,75,1.3311173915863037
RMSprop,32,30,0.0033548545194,105,0.09569615870714188
Adamax,57,29,0.002933611283608,32,0.09898271411657333
Adamax,36,18,0.0064450714257595,38,0.10830919444561005
Nadam,46,21,0.0027284674576223,45,0.07768610119819641
Adam,33,25,0.0073832424451874,39,0.10917964577674866
AdamW,58,22,0.000814695558124,126,0.13545559346675873
SGD,45,30,0.0056123447116007,61,0.46094369888305664
RMSprop,33,25,0.003314433451394,123,0.0998414009809494
Nadam,34,18,0.0038863555510557,93,0.09032145142555237
AdamW,42,17,0.0006099191564304,120,0.18174882233142853
Adamax,43,24,0.0044888983801109,81,0.10937003791332245
Adagrad,59,22,0.0080993835739737,113,0.33314475417137146
Adam,62,28,0.0038199191426585,32,0.06960608065128326
SGD,35,16,0.0041744418232186,86,0.7718112468719482
RMSprop,33,19,0.0073185652051088,36,0.14031967520713806
AdamW,53,29,0.0098208694212067,87,0.0850725769996643
Nadam,41,31,0.0079627388079207,108,0.07989121228456497
SGD,34,26,0.0087119765112102,41,0.33544570207595825
AdamW,59,29,0.0036458574053723,60,0.06512388586997986
Adamax,34,26,0.0037615145389612,73,0.1315019279718399
AdamW,39,25,0.001372113036533,93,0.10597200691699982
Adadelta,37,20,0.0054077566107524,82,1.9096397161483765
AdamW,62,22,0.0007713080345884,86,0.11563081294298172
AdamW,34,20,0.0002923767350311,83,0.22430090606212616
RMSprop,48,18,0.0075169216914119,95,0.08917667716741562
SGD,61,31,0.0012253277021893,106,1.9556043148040771
SGD,62,17,0.00378351704048,97,1.0660927295684814
Adam,61,24,0.0059604069703855,84,0.07183051854372025
SGD,50,27,0.0096425664568089,69,0.36479267477989197
Adadelta,58,28,0.0084898721276248,92,1.3271474838256836
RMSprop,58,27,0.0012303510145399,71,0.09900176525115967
AdamW,56,17,0.009981683768248,103,0.08103856444358826
Adamax,51,28,0.0094474139629648,32,0.0763464942574501
AdamW,37,31,0.0043192248397115,70,0.08798593282699585
AdamW,45,23,0.005020889432686,38,0.08190307021141052
SGD,38,17,0.0012881655665239,44,1.3915338516235352
Adagrad,33,20,0.0042031470420924,94,0.4572155475616455
Adagrad,52,31,0.0010863666828738,35,0.7140586972236633
Adamax,48,16,0.0061850722174239,115,0.10302340239286423
Adagrad,57,18,0.0047542878210729,81,0.4135759472846985
AdamW,42,28,0.0088132733318399,32,0.10849793255329132
Nadam,43,31,0.0053987759833497,88,0.0749548152089119
Adamax,55,20,0.0039631326117451,92,0.11619022488594055
Adagrad,44,18,0.0094867723757051,46,0.2642470896244049
Adamax,46,25,0.0076105915448689,96,0.09131836891174316
AdamW,45,30,0.0031578866525719,38,0.07254982739686966
RMSprop,56,17,0.0041257039120327,84,0.07233157753944397
Adam,35,18,0.0072856493034665,121,0.09939258545637131
SGD,62,21,0.0005718576137754,73,2.1576294898986816
SGD,55,17,0.0068041503922921,62,0.4302051365375519
Adadelta,51,16,0.0004834338115395,35,2.252048969268799
AdamW,59,30,0.0035373798654635,37,0.07254819571971893
Adam,47,25,0.0090252653167056,87,0.08389772474765778
Adagrad,50,29,0.0021860297299625,39,0.4497658312320709
Adam,63,28,0.0079611402445752,69,0.08292901515960693
Adagrad,56,24,0.0068266277296076,98,0.34276002645492554
Adam,63,16,0.0069216844381008,79,0.07549037784337997
Adam,43,31,0.0074885542764018,90,0.08265401422977448
Adam,63,17,0.0011328645368121,121,0.11115095764398575
AdamW,41,19,0.0028538359223336,98,0.09324319660663605
Adam,47,19,0.0055365887870357,84,0.07409132272005081
Adagrad,57,30,0.0074201425589464,54,0.2745727598667145
Adagrad,45,20,0.0079446983613921,48,0.29387542605400085
Adadelta,43,25,0.007147154656118,100,1.7586424350738525
AdamW,55,30,0.0075660351584345,50,0.08686099201440811
Adagrad,54,28,0.0047842276833392,53,0.3501558005809784
AdamW,41,26,0.0011844939842625,119,0.12180576473474503
AdamW,42,20,0.0020139953059808,94,0.10057130455970764
Adamax,62,22,0.0012396892558811,67,0.1773413121700287
SGD,53,20,0.0082954844601759,77,0.4472736120223999
Adadelta,59,24,0.0099467539451045,50,1.017032265663147
Adadelta,60,29,0.0072182590143191,106,1.6296813488006592
Adagrad,48,23,0.0097693949951574,110,0.3190014958381653
Adadelta,59,24,0.0005235236379735,54,2.2584142684936523
Adadelta,32,22,0.0044522893533687,127,2.0441222190856934
Adadelta,63,19,0.00323345225544,118,2.1154391765594482
Adamax,46,27,0.0036999001618362,33,0.10188665986061096
SGD,42,27,0.0029115768324233,106,1.3617445230484009
Adagrad,56,17,0.0092765275631928,83,0.2996874153614044
Adagrad,54,21,0.003525163496818,121,0.5309184193611145
SGD,32,31,0.0034065584253847,44,0.5037941336631775
Adam,35,30,0.0068764042946706,47,0.0965324267745018
Adadelta,48,18,0.007809854856348,108,1.57369863986969
Adamax,38,20,0.0037898552525824,53,0.11735963076353073
Adagrad,58,27,0.0086009895864464,83,0.3221004903316498
Adagrad,37,22,0.0031365701049563,110,0.5623850226402283
Adadelta,41,18,0.0077463754555523,34,1.2930901050567627
SGD,36,28,0.0063311667001783,110,0.6378827691078186
Adam,55,17,0.0040541562882612,62,0.07249949872493744
Adam,35,20,0.0030645047322185,124,0.10621418803930283
Adamax,52,23,0.0024275390752734,43,0.1166510060429573
AdamW,61,31,0.0097729578409962,105,0.07774116098880768
Adamax,53,29,0.002176943854709,84,0.14631761610507965
Adadelta,46,22,0.0087915667127562,122,1.7281856536865234
Adagrad,50,23,0.0056799396489098,88,0.3787957429885864
Adamax,56,24,0.0024100810543609,102,0.13873960077762604
Nadam,55,23,0.0066552076953273,89,0.0698707327246666
Adam,32,27,0.0025280452737679,111,0.11248058080673218
Adadelta,43,25,0.0028150072884152,49,2.0251305103302
Adam,63,28,0.0058936855444041,78,0.06851256638765335
AdamW,42,17,0.0090089946061794,84,0.0916389673948288
Nadam,45,27,0.0077507267834648,60,0.08186239749193192
Adadelta,57,24,0.004850124835673,39,1.4923807382583618
Adagrad,57,24,0.0094792767442971,44,0.24784767627716064
RMSprop,43,31,0.0096807483518769,43,0.14103995263576508
Adagrad,61,24,0.0040131560827572,50,0.35731467604637146
RMSprop,47,25,0.0060756879195396,126,0.07931039482355118
RMSprop,46,18,0.0098998556108134,52,0.13034789264202118
Adam,56,27,0.0094466840213904,112,0.07442647218704224
Adagrad,38,26,0.0092838658230393,37,0.24893730878829956
Adam,62,20,0.0054357792949415,69,0.0725376158952713
Adagrad,59,19,0.0014570822325036,85,1.075873613357544
Adam,33,22,0.001784161504473,91,0.1126406118273735
Nadam,49,24,0.0026434307183654,68,0.06996352225542068
SGD,52,22,0.0079492736677835,118,0.5374881029129028
Nadam,45,24,0.0086111481787491,72,0.08309324085712433
Adagrad,42,29,0.0030356763700819,48,0.42728951573371887
Adagrad,54,21,0.0082632577618393,120,0.35530540347099304
Nadam,55,22,0.0071415070564943,33,0.08924665302038193
Nadam,33,23,0.0011835706693337,35,0.09640609472990036
Adadelta,42,27,0.0094701698305222,64,1.261937141418457
Nadam,60,19,0.0055882316718209,73,0.06548948585987091
AdamW,35,16,0.0049122410975839,81,0.09548795223236084
Nadam,48,31,0.0040243102177669,106,0.06691954284906387
Adam,54,23,0.0026760073217189,54,0.0702461451292038
Adamax,34,26,0.0004742266428951,104,0.3000122010707855
Nadam,34,16,0.0055170795448138,110,0.09317317605018616
