Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,50,17,1.0099910519672772,45,2.3025732040405273
Adadelta,61,29,1.0042270559064408,48,0.08290402591228485
Adagrad,38,16,1.0046946697315946,65,2.302813768386841
Adadelta,54,17,1.0007063660499012,91,0.09671126306056976
Ftrl,51,23,1.0025508077276293,53,2.3022196292877197
Adadelta,55,20,1.0079933972146016,105,0.10353991389274597
Adadelta,52,21,1.0020587841628998,66,0.09482736885547638
Adadelta,47,30,1.0075214720376184,83,0.10012979060411453
Adagrad,53,31,1.0048858162010788,56,1.6441386938095093
Adadelta,50,30,1.0060202122894044,73,0.08716396987438202
Adadelta,52,20,1.0091657526103082,88,0.10143497586250305
Adadelta,61,19,1.0045804110274938,84,0.09374823421239853
Adadelta,44,18,1.006119996009771,44,0.10282117873430252
Adadelta,33,28,1.0026745088296647,68,0.11836600303649902
Adamax,64,25,1.0038450312482596,106,2.321314811706543
Adamax,44,25,1.004158668874805,59,2.0270144939422607
Adadelta,51,27,1.0041744837071442,72,0.09525110572576523
Ftrl,60,24,1.0011664775439506,33,2.3023784160614014
Adadelta,62,21,1.007835311401858,45,0.07633369415998459
Adadelta,61,31,1.00373616260021,121,0.0916513055562973
Ftrl,46,25,1.0097396839368353,58,2.302821636199951
Adadelta,51,17,1.0030388967316786,91,0.11332640051841736
Nadam,50,26,1.0058509878053021,74,2.337150812149048
Adagrad,45,23,1.0090069889838236,117,2.302482843399048
Adadelta,42,26,1.0084599080275611,35,0.09549316763877869
Adadelta,39,17,1.0094797477782356,66,0.11248625814914703
SGD,57,24,1.0045932158422002,115,0.1720631718635559
SGD,50,25,1.0003629525041222,124,0.21260860562324524
SGD,35,17,1.007679739180498,71,1.7487543821334839
Adadelta,62,18,1.0049735974105873,107,0.10169524699449539
Ftrl,54,16,1.0059030286826474,89,2.302581310272217
SGD,48,25,1.0026617778529994,52,0.5123151540756226
Adadelta,32,27,1.0022740090753428,122,0.13264748454093933
Adadelta,53,30,1.0070413153653226,35,0.08902229368686676
Adadelta,40,21,1.005254883239646,35,0.09871117025613785
Adadelta,46,17,1.0013203583216974,125,0.11369612067937851
SGD,36,24,1.002362508544383,119,1.6014705896377563
Adadelta,54,19,1.0047146564899119,46,0.08767789602279663
SGD,45,30,1.0013520800671545,88,1.719601035118103
Adamax,51,21,1.0024050658085857,57,1.7767248153686523
Adadelta,44,20,1.0050308336350482,57,0.0972294807434082
Ftrl,33,29,1.0038353714875894,107,2.302767038345337
Adadelta,45,26,1.0093014660534037,119,0.11427932232618332
Adadelta,59,19,1.0078522013817366,71,0.08704281598329544
Adadelta,57,27,1.0030898826051142,39,0.08642823249101639
Adamax,51,27,1.0096902880060397,81,2.1788930892944336
Adagrad,61,25,1.0052906702437563,118,2.302711248397827
SGD,35,19,1.0046063965594496,81,1.1185013055801392
Adadelta,53,26,1.0035790099873605,54,0.08537046611309052
Adadelta,41,26,1.0027397578733708,63,0.10119897127151489
SGD,62,29,1.0054410318870992,110,0.10528537631034851
Adamax,48,17,1.002494253912537,113,2.3219010829925537
Adadelta,34,20,1.0092525615780152,121,0.13450929522514343
Adadelta,37,24,1.00203248978657,126,0.1316557675600052
Adagrad,35,30,1.0024713501147438,112,2.302436351776123
Adadelta,47,28,1.0054350500205147,43,0.09374859929084778
Adadelta,44,17,1.0078157186495948,80,0.11587347835302353
Adadelta,59,17,1.0061482638927024,89,0.09602855145931244
Adadelta,56,19,1.006116984978663,53,0.08477021753787994
