Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
AdamW,64,30,0.01,53,-0.347645352653887
Adam,44,32,0.01,128,-0.3370321203140489
RMSprop,51,23,0.01,128,-0.35054019102515777
AdamW,43,32,0.01,128,-0.3502517997915834
AdamW,61,20,0.01,107,-0.3496484253213213
Adam,53,19,0.01,93,-0.35109353042009367
RMSprop,64,32,0.01,120,-0.3505141136424815
AdamW,53,20,0.01,128,-0.3506837336209244
Adam,64,25,0.01,106,-0.34782098726589816
Adam,53,17,0.01,99,-0.33857299297847243
RMSprop,64,29,0.01,102,-0.3499106096870259
AdamW,43,32,0.01,128,-0.34539623134672576
AdamW,42,32,0.01,95,-0.3367977719266241
Adam,50,24,0.01,54,-0.3517142080897846
Adam,53,28,0.01,77,-0.33944357249335555
Adadelta,60,29,0.01,114,-0.3350247772276859
RMSprop,56,32,0.01,128,-0.35004873268523173
Adam,34,23,0.01,95,-0.3524155427315755
RMSprop,47,28,0.01,124,-0.3439878595066596
SGD,52,32,0.01,102,-0.32968054725543133
