Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,61,20,0.0063131979695431,101,0.3960733711719513
AdamW,55,16,0.0008045464577355,68,0.12162192910909653
Adamax,50,17,0.0074227543588611,91,0.08409027755260468
RMSprop,61,30,0.0068894283822555,68,0.08524516969919205
Adam,41,16,0.001521408077687,44,0.09244222939014435
AdamW,32,25,0.0072858971529463,33,0.11168729513883591
Adagrad,37,29,0.0011587066872655,50,0.8935202360153198
RMSprop,37,30,0.0035647318472743,111,0.08571033179759979
Nadam,56,16,0.0039953652615316,46,0.06958837062120438
Adagrad,59,26,0.0084465018759655,125,0.3369223177433014
AdamW,46,23,0.0096299492385786,108,0.08112438768148422
RMSprop,54,18,0.0089762524828956,43,0.11771731823682785
Adadelta,48,17,0.0038704259545354,98,2.0877444744110107
Adamax,37,17,0.0065644670050761,100,0.11501407623291016
Adadelta,38,31,0.0021498786139924,94,2.170480966567993
SGD,56,21,0.0084109468108585,99,0.47067925333976746
Nadam,47,17,0.0077705583756345,40,0.09175103157758713
Adadelta,45,27,0.0033788126241447,113,2.156810998916626
RMSprop,37,24,0.0058527698079894,123,0.09089048951864243
Adamax,48,24,0.0008794305892738,68,0.2114633023738861
SGD,45,29,0.0079352240123593,83,0.44966253638267517
AdamW,50,22,0.0052580666519532,122,0.07453574240207672
Adamax,54,17,0.0017853895387331,99,0.1615825742483139
Adadelta,56,21,0.0032197086735819,61,1.9168652296066284
Adam,47,29,0.0092916795409401,45,0.09557995945215225
AdamW,62,26,0.0057878172588832,92,0.06582874059677124
SGD,35,27,0.0077898256455528,78,0.44710439443588257
Adamax,56,16,0.0006559699845508,91,0.2560427784919739
Adamax,43,29,0.0006015449128227,62,0.2413533478975296
RMSprop,33,22,0.0053174575148973,113,0.10498049855232239
SGD,34,23,0.0040700507614213,35,0.41071417927742004
Adam,51,21,0.0048711322003972,112,0.07713215053081512
Adamax,63,29,0.0080569852129772,70,0.07077880203723907
Adagrad,50,18,0.0060661001986316,108,0.3747527301311493
RMSprop,34,27,0.0012824542043698,42,0.11729607731103897
Adadelta,50,29,0.0005248730964467,42,2.2447509765625
