Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adadelta,21,3,60,16,0.0023025782208456937,90,2.161742925643921
Ftrl,18,3,61,21,0.0027150010188016806,100,2.3014795780181885
AdamW,29,3,46,22,0.009553325534652251,119,0.04224468022584915
RMSprop,31,3,50,31,0.0029872465007218458,102,0.024395106360316277
Nadam,24,3,39,16,0.008103862973015519,41,0.051170412451028824
SGD,22,2,45,23,0.004565502203365494,87,0.2970142960548401
AdamW,21,1,43,29,0.0010619573198229128,78,0.250821977853775
Nadam,16,2,47,32,0.00016113163597453165,105,0.12751004099845886
Adadelta,22,1,56,19,0.00996613376690419,89,0.9545151591300964
Ftrl,25,2,54,25,0.00983405954525764,99,2.301193952560425
AdamW,29,3,63,31,0.005481983474274349,120,0.029339585453271866
Nadam,27,3,61,24,0.0032478191454353715,82,0.023813243955373764
Adam,21,3,45,25,0.009705587716464452,69,0.05132998153567314
Adadelta,19,2,64,24,0.009389472098655179,46,0.5753691792488098
Adagrad,17,1,45,17,0.002352962339395889,111,0.701855480670929
RMSprop,29,3,50,20,0.006534694322673509,86,0.04065098240971565
SGD,30,2,50,28,0.0007385375788839388,41,0.614722728729248
Ftrl,17,1,54,29,0.009640851575428913,108,2.301192283630371
Adafactor,27,3,34,29,0.009697569026596601,118,nan
SGD,25,2,35,24,0.006731769424117375,69,0.2474363148212433
AdamW,16,2,36,25,0.0032651195170305325,47,0.04210066795349121
Adadelta,18,1,42,25,0.008459195987404541,114,1.7824044227600098
Adafactor,18,3,55,32,0.0016657405785288166,112,nan
Adam,28,3,41,20,0.009065974511953097,118,0.04069708660244942
Adamax,29,2,49,19,0.002606704192422375,82,0.04756574705243111
Ftrl,29,3,54,30,0.0020528547041802334,38,2.301557779312134
AdamW,26,3,41,26,0.0025603764775630673,44,0.029949743300676346
Ftrl,21,3,41,21,0.00019286397915060336,67,2.302433967590332
RMSprop,31,3,50,18,0.002090868901074941,33,0.0270092636346817
Ftrl,28,1,36,23,0.006890973426895816,103,2.3012099266052246
Ftrl,32,3,35,22,0.001132852841994226,74,2.3019015789031982
Nadam,19,3,36,21,0.0023663452271178278,71,0.03390543535351753
Adam,31,1,52,26,0.002731246640968164,53,0.24382805824279785
Adam,28,1,43,20,0.006771230147222233,64,0.21356810629367828
RMSprop,26,3,59,17,0.009779752238541807,50,0.08330552279949188
Adamax,23,1,55,26,0.0004096023421589187,40,0.3427228629589081
AdamW,22,1,54,19,0.004451568865956086,91,0.2427167445421219
Adam,31,1,47,24,0.0004563152445105385,45,0.2338118851184845
Adamax,25,3,53,31,0.008019838679245635,72,0.026272807270288467
Adadelta,27,3,59,19,0.00712384984064948,80,0.7378250360488892
Adagrad,27,1,57,23,0.004711782606068025,56,0.47622230648994446
Adagrad,28,1,48,28,0.00034065934022326844,45,1.9189443588256836
RMSprop,17,2,55,27,0.0077703069572621145,106,0.04319097474217415
Adadelta,22,1,62,16,0.0005154214086393546,120,2.278998374938965
Adagrad,24,1,38,17,0.0008092554511357097,82,1.992010235786438
Adagrad,23,1,64,24,0.004002016026037005,38,0.4585651755332947
Adam,24,1,63,18,0.004095592858516881,62,0.24131172895431519
Adam,16,3,63,18,0.0013552753654204892,66,0.037976138293743134
RMSprop,30,1,56,29,0.005111034697656354,72,0.2196504920721054
AdamW,29,3,47,25,0.0001520994581010104,82,0.08829782158136368
Adamax,25,1,64,31,0.002519643870899835,46,0.1967354565858841
AdamW,18,2,50,21,0.004173537806165362,79,0.03810960799455643
Adagrad,19,1,58,27,0.008891792457157125,119,0.43638139963150024
RMSprop,29,3,41,31,0.007014552249053259,121,0.03708012402057648
Adam,17,1,36,17,0.0009198436323263282,32,0.2728739380836487
Adadelta,22,2,59,20,0.009677007973309962,70,0.7157795429229736
SGD,18,3,37,22,0.005876193449549396,53,0.15961100161075592
RMSprop,28,2,50,16,0.0033386868683966788,46,0.03505660220980644
Ftrl,19,1,33,32,0.009264121394468854,64,2.30118989944458
RMSprop,24,1,47,16,0.004511981749881353,42,0.3242115378379822
Adamax,26,3,47,16,0.008384219379643917,40,0.025683129206299782
RMSprop,16,3,45,22,0.008018806448997027,38,0.09876591712236404
Adam,25,3,32,21,0.0041950904496598565,62,0.034902289509773254
Adafactor,16,2,60,24,0.002993208944065782,124,nan
Adadelta,27,3,54,18,0.00451415593669615,53,1.3853566646575928
Ftrl,22,1,45,23,0.0015393605891977583,74,2.301741361618042
Ftrl,16,1,36,17,0.0010792360587266604,76,2.301928997039795
SGD,28,2,32,32,0.0072789545460116385,96,0.2577599883079529
AdamW,23,1,56,32,0.005689357412950149,98,0.2369038313627243
Adafactor,27,1,34,22,0.0038516096818991944,116,nan
AdamW,28,3,32,28,0.008007227936542802,66,0.047032687813043594
Adamax,32,2,33,22,0.009491717388739362,52,0.028701938688755035
Adafactor,19,2,39,24,0.007391695428426303,122,nan
Adam,19,1,61,19,0.009701618699599165,119,0.21678099036216736
SGD,22,3,60,21,0.00625157200048837,122,0.22779618203639984
Adamax,25,1,43,24,0.006434677083626516,51,0.266506165266037
Adam,17,1,45,22,0.007060965340968397,67,0.2569931745529175
Adadelta,29,2,52,18,0.0028068712556753614,118,2.158404588699341
Adagrad,22,1,64,21,0.006949867434056041,101,0.42954862117767334
Adadelta,25,2,55,30,0.00958896421627465,115,0.6211821436882019
Nadam,21,1,42,31,0.007249717951001316,127,0.23199358582496643
SGD,26,3,38,30,0.003433949258262529,63,0.23029370605945587
Adam,18,2,35,18,0.00866839638074965,36,0.06570892035961151
AdamW,29,3,64,29,0.0034148158245496858,101,0.02820551209151745
AdamW,23,3,49,28,0.008198450734239594,72,0.040662553161382675
Adadelta,19,1,39,32,0.007382522669257165,71,1.430787444114685
Adagrad,17,1,39,27,0.004693863083983166,42,0.4788014590740204
Adadelta,16,3,53,21,0.0031758703815464714,35,1.8702136278152466
SGD,22,3,62,22,0.004714150372258326,89,0.23227611184120178
SGD,19,2,36,28,0.0014529927253521524,82,0.8358271718025208
Adadelta,18,2,49,19,0.0017257966108580305,33,2.1143271923065186
Adadelta,32,1,38,26,0.0013451763956647503,108,2.273608446121216
