Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
181,43,0.005121211264406971,73,0.4812713861465454
138,130,0.005571933881031863,95,0.5198295712471008
240,145,0.0073146563357434306,42,0.3059270977973938
151,217,0.003954894907890019,74,0.5447673797607422
193,129,0.002608404166828095,40,0.4566147029399872
142,256,0.005127355024778654,45,0.3728272318840027
88,99,0.0005708512206098617,101,2.2137115001678467
152,65,0.008532927447847389,72,0.35736826062202454
154,93,0.0032287886757524278,40,0.41678765416145325
192,122,0.00019926840722768962,126,2.2763097286224365
55,223,0.00940174168827475,108,0.45820221304893494
139,219,0.007045448507254563,62,0.37052491307258606
119,236,0.006565696700420582,81,0.43010732531547546
185,126,0.0011116658404008376,78,1.7052470445632935
94,175,0.004155248904419903,97,0.6979915499687195
35,255,0.007533909996105271,47,0.3575023412704468
76,193,0.008150589644999522,47,0.32710614800453186
233,216,0.008223649319866636,99,0.40667352080345154
196,108,0.004272295820281293,32,0.3452659249305725
223,133,0.0015662335279152159,115,1.7723731994628906
186,88,0.0001662021901883983,32,2.143289566040039
223,166,0.00871017188105236,117,0.4262414574623108
68,159,0.004130389473209578,94,0.7111055850982666
223,188,0.0021068156228100134,124,1.5669245719909668
105,97,0.007915651773063435,107,0.4421083331108093
216,191,0.0008067911101320009,66,1.8386127948760986
228,229,0.0030729407647879796,53,0.4977193772792816
57,198,0.006346065033455544,51,0.3858278691768646
95,175,0.0030826874060769986,104,1.0368579626083374
102,65,0.004758268602427651,98,0.6314724087715149
244,44,0.0007768104769003947,121,2.1069254875183105
140,241,0.0003347768242963603,102,2.23246431350708
87,72,0.00023858882357922557,126,2.27012038230896
82,216,0.0031629799870420356,45,0.49625205993652344
180,212,0.007214873018791735,65,0.3706795573234558
146,158,0.008907919649797489,33,0.2733026444911957
111,252,0.0006619003025104055,81,2.1843948364257812
181,50,0.0030893225367029068,107,0.8786672949790955
217,170,0.0038345086561061784,106,0.7244225740432739
217,227,0.006037148599390338,57,0.3676808774471283
90,71,0.005708717510213487,88,0.48921334743499756
60,134,0.007885870372294667,72,0.3955325186252594
36,68,0.009514723928707197,120,0.5050811171531677
109,150,0.0047738040475010755,90,0.547051191329956
230,251,0.0035536357151422647,62,0.4906562864780426
39,136,0.002146235067576223,54,0.9427561163902283
83,188,0.00479792565467547,111,0.7656906247138977
51,148,0.002461623748406385,70,0.8842841386795044
161,157,0.0012388921689185073,69,1.3425259590148926
141,174,0.009887855748063924,34,0.26507097482681274
177,123,0.005159665276493421,124,0.6270031929016113
229,161,0.003850829251650551,101,0.6691190004348755
37,59,0.00264605114875043,97,1.496230959892273
89,55,0.0032928138951171153,90,0.8010786175727844
250,205,0.00325897209619584,104,0.8408914804458618
226,251,0.008334537173525683,122,0.44612494111061096
62,106,0.0013554883186905236,43,0.9916858077049255
37,159,0.004342522327083217,45,0.45644739270210266
248,153,0.006391280563656608,119,0.5210567116737366
176,225,0.005153961770382515,75,0.4572591185569763
