Optimizer,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
RMSprop,139,81,0.0009944559487546627,34,0.05149318277835846
Adam,142,60,0.003819742407362391,103,0.04290195181965828
RMSprop,54,232,0.005039969881878957,95,0.0673430785536766
Adafactor,37,84,0.0015685830197443588,119,0.28398868441581726
Ftrl,185,223,0.0052540850848198815,76,2.301241397857666
Nadam,73,87,0.005990877318643588,47,0.07206010818481445
AdamW,228,190,0.004049469285988682,33,0.05914323776960373
Adamax,84,187,0.0009396791045514983,99,0.15286017954349518
Nadam,85,67,0.007295370302449368,101,0.05989471450448036
RMSprop,181,195,0.0037731002202235357,78,0.046275507658720016
Adagrad,139,237,0.007453107314497599,74,0.27108320593833923
Adadelta,83,157,0.004318429815088824,119,1.9374194145202637
Adam,65,71,0.0012522492691764923,72,0.07149697840213776
Ftrl,130,200,0.001121594790661718,81,2.3019158840179443
SGD,103,84,0.006724003531496926,110,0.5047434568405151
Nadam,203,226,0.0014115063574379088,111,0.0340665802359581
Adadelta,214,240,0.001303209876281678,47,1.940784215927124
Adadelta,178,165,0.005202864206023441,113,1.2916101217269897
Adadelta,174,152,0.00025096375373127487,43,2.261338233947754
Adam,133,221,0.0025482086288314983,65,0.04183012992143631
Adagrad,133,77,0.002706985063898248,60,0.37198951840400696
RMSprop,59,196,0.002758792364547677,120,0.06035282090306282
Adamax,125,139,0.001956971152478078,92,0.08155452460050583
Adagrad,101,98,0.007266674307835297,60,0.2654043436050415
AdamW,243,225,0.0032262549102885715,118,0.037776485085487366
SGD,208,59,0.008546724694020427,125,0.45114874839782715
Adadelta,245,136,0.005336220707873039,44,0.6553695797920227
Adam,237,63,0.0003604875303902641,96,0.09102723002433777
AdamW,162,154,0.007759184542327525,96,0.06155354902148247
Adafactor,156,148,0.0038223859350942735,106,0.13254690170288086
Adagrad,154,189,0.0035984089520017773,96,0.3709183633327484
Adagrad,125,235,0.0039943420404753675,78,0.3381929397583008
Adagrad,76,163,0.004881129450806401,50,0.29982781410217285
Adamax,134,132,0.0015406531327254254,99,0.09361787885427475
RMSprop,133,89,0.0009247513020091893,90,0.0644640251994133
AdamW,205,106,0.0015265324269764843,63,0.03498820215463638
Adam,99,124,0.0040409951344555824,92,0.04879114404320717
Ftrl,92,176,0.004671157050597237,77,2.301267147064209
Adam,153,192,0.005886718173505327,120,0.04953843727707863
RMSprop,205,123,0.0060715744483967144,39,0.1074390560388565
Adadelta,144,213,0.00360463857613453,119,1.821024775505066
Ftrl,195,178,0.0021475918970827595,72,2.301572561264038
Nadam,104,124,0.008344966417436718,37,0.0907515436410904
Nadam,44,212,0.005695648236826851,112,0.06578342616558075
Adafactor,64,251,0.006411835519131564,51,0.09374047815799713
Adafactor,150,254,0.007779621355170779,121,0.08102573454380035
Nadam,152,141,0.0009057556546098355,83,0.0488901250064373
Adamax,235,214,0.0038187166139302194,95,0.03682141378521919
Adagrad,170,82,0.005341666218127554,97,0.3302628993988037
Adam,59,77,0.004554288912404861,64,0.06506998836994171
Adagrad,116,212,0.008361685493472035,39,0.21231545507907867
SGD,225,191,0.0037215525869065073,86,0.6025580167770386
RMSprop,224,76,0.005301614026621546,78,0.053829923272132874
Adamax,50,33,0.008801506116230956,111,0.08492863178253174
Adadelta,52,71,0.006327353051912112,37,1.1188690662384033
Adam,77,56,0.004497389960701689,47,0.06226594001054764
Ftrl,121,130,0.007616647038291243,118,2.3012020587921143
SGD,57,212,0.0016052256385467522,38,0.8323080539703369
Adagrad,136,206,0.003512695827946331,75,0.353977769613266
SGD,93,148,0.0042939451247605885,45,0.40248268842697144
SGD,57,44,0.007032001145462283,83,0.447153240442276
RMSprop,103,132,0.007762229480636989,56,0.11508464813232422
RMSprop,229,105,0.005216651241070196,122,0.04272877052426338
Ftrl,94,224,0.004370566322779949,57,2.3012757301330566
Adafactor,51,183,0.008447592708983796,47,0.08867436647415161
Adagrad,119,242,0.0023896490924214943,53,0.3745731711387634
Adafactor,65,232,0.004148389722444209,72,0.14738042652606964
Adadelta,132,254,0.001041747230187703,89,2.1965439319610596
Adadelta,160,169,0.007580883360369062,63,0.6925991773605347
Adagrad,229,34,0.006164402774710426,37,0.23783688247203827
Adagrad,166,134,0.0015743832224250098,33,0.37796249985694885
SGD,42,240,0.0024796950504891164,81,1.515291690826416
RMSprop,138,86,0.008849686222578252,38,0.16677768528461456
Adafactor,142,196,0.008840350933000807,121,0.07361242175102234
RMSprop,251,123,0.007178820200440283,120,0.05533842369914055
Nadam,214,79,0.0008832508866113782,76,0.04372734948992729
Ftrl,118,56,0.003692333740914545,114,2.301360607147217
RMSprop,143,45,0.002324734886270444,64,0.04583064466714859
Adadelta,213,184,0.006131144588124631,51,0.6531328558921814
AdamW,94,232,0.008891864730955674,72,0.08502147346735
Adafactor,108,112,0.003504767497042597,73,nan
Adamax,195,129,0.006714817946466701,39,0.029656490311026573
AdamW,251,77,0.0003009877989459283,78,0.09285397827625275
Nadam,160,45,0.0015468432447754406,68,0.04090571776032448
Adafactor,122,57,0.0013550332662945136,39,nan
SGD,191,100,0.007564467623167667,79,0.38319534063339233
Nadam,100,124,0.0016936938939389394,115,0.051755841821432114
Adamax,65,148,0.001573762504735243,43,0.11058995872735977
Ftrl,221,50,0.009248649096476002,116,2.3011934757232666
AdamW,146,210,0.008498111226706668,117,0.06491732597351074
RMSprop,177,154,0.0026653086429077265,64,0.04130658134818077
Adadelta,188,116,0.0021507064330667726,94,1.9142931699752808
AdamW,186,254,0.0031990032255750415,99,0.04264465719461441
Nadam,92,134,0.008129029926987304,89,0.06856522709131241
Adam,152,241,0.003772761217339282,84,0.04421849921345711
Ftrl,131,123,0.0025984447784295245,99,2.301508665084839
AdamW,213,194,0.004835653810545807,50,0.05938740074634552
Adamax,140,227,0.007072728418263741,92,0.03716473653912544
Adam,33,96,0.0007542004888435709,120,0.1494191735982895
Adafactor,214,248,0.007604174984042408,92,0.06543801724910736
RMSprop,236,41,0.00098721639362664,67,0.050518687814474106
RMSprop,214,187,0.004906234429783323,35,0.09588485956192017
RMSprop,203,226,0.0008856218891598072,50,0.0429287888109684
AdamW,140,94,0.00994337704455528,89,0.07733875513076782
Adamax,218,36,0.007801575880437314,119,0.04038061201572418
Adadelta,200,227,0.001330290010094631,63,2.0123178958892822
Adadelta,172,246,0.00905261856913562,103,0.7305634021759033
Adadelta,150,246,0.0010651069745827597,57,2.1406261920928955
Adadelta,199,202,0.00949963405258707,51,0.47493577003479004
SGD,63,209,0.009901003946043966,48,0.3112863302230835
Adagrad,220,175,0.002067437230586416,71,0.4208429753780365
AdamW,68,38,0.006535576957295955,86,0.0697297528386116
Nadam,97,187,0.0036696783398882616,101,0.045541223138570786
RMSprop,83,254,0.002763916873880954,70,0.05154886096715927
Adam,92,108,0.0018531170898078266,59,0.04752054810523987
Ftrl,175,75,0.009842960122061699,118,2.3011937141418457
Ftrl,183,102,0.009298594008876353,61,2.301190137863159
Adagrad,139,237,0.006010928024501902,75,0.296259343624115
SGD,178,150,0.0010043681257481335,65,1.5974239110946655
AdamW,35,115,0.004757525802644722,73,0.07695714384317398
Adagrad,171,65,0.0017717363203087753,96,0.599639892578125
RMSprop,206,126,0.002581274450893522,59,0.04098619893193245
SGD,36,240,0.0043696072547917695,87,0.7470707297325134
Adafactor,91,190,0.0037842334225254327,51,nan
Adafactor,186,66,0.007949580432768983,75,0.06568937748670578
Adagrad,218,59,0.0038223260387542793,43,0.2992560863494873
AdamW,45,118,0.002510244198820104,43,0.06735121458768845
Adadelta,90,60,0.004488900462518118,58,1.4381650686264038
SGD,140,126,0.009542459628071464,114,0.41541630029678345
RMSprop,238,137,0.00523661119293904,34,0.11263090372085571
Adagrad,157,152,0.003397629234445072,90,0.3809185326099396
Adadelta,83,33,0.006988078837648934,89,1.3697764873504639
Adagrad,148,200,0.00903031015948563,47,0.207243412733078
AdamW,214,117,0.002837382190321136,49,0.044165898114442825
AdamW,203,67,0.007776735291511493,78,0.06008433178067207
Ftrl,65,227,0.003335027489409683,38,2.3013484477996826
Adafactor,53,188,0.0046216353558972524,79,0.1513650268316269
Adamax,149,166,0.007044863591993483,106,0.03707083314657211
AdamW,131,38,0.0048806210916468706,102,0.04839377477765083
Adafactor,147,194,0.00870209534556786,59,nan
Adam,112,37,0.00783315894806006,121,0.051342740654945374
RMSprop,180,72,0.00229310655123054,64,0.04103241115808487
Adafactor,94,221,0.001164393060026403,103,0.26535549759864807
Ftrl,64,81,0.0005642496801137162,39,2.3021552562713623
